Res,layer_33,layer_32,layer_31,layer_30,layer_29,layer_28,layer_27,layer_26,layer_25,layer_24,layer_23,layer_22,layer_21,layer_20,layer_19,layer_18,layer_17,layer_16,layer_15,layer_14,layer_13,layer_12,layer_11,layer_10,layer_9,layer_8,layer_7,layer_6,layer_5,layer_4,layer_3,layer_2,layer_1
"Using Answer Using one word only :  The sky is full of ____ at night. (stars)
 Answer: ",Ġstars,ĠThe,ĠThe,ĠThe,ĠThe,ĠThe,ĠThe,ĠThe,ĠThe,ĠThe,ĠThe,ĠThe,ĠThe,ĠThe,ĠThe,ĠThe,ĠThe,ĠThe,ĠThe,ĠThe,ĠThe,ĠThe,ĠThe,ĠThe,1,Ġ,2,Âł,1,1,10,1,ellen
"Using Answer Using one word only :  Challenging Questions
 Answer: ",ĠQuestion,1,1,Ġ,Ġ,1,Ġ,1,1,1,Ġ,Ġ,1,1,ĠAnswer,Ġ,Ġ,"Ġ""",1,Ġ,1,ĠAnswer,Ġ,4,3,Ġ,Ġ,Ġ,ĠB,1,1,1,ellen
"Using Answer Using one word only :  The first element on the periodic table is ____.
 Answer: ",ĠHydro,ĠHydro,ĠHydro,ĠHydro,ĠHydro,ĠHydro,ĠHydro,ĠHydro,ĠHydro,ĠHydro,ĠThe,ĠA,ĠA,1,1,ĠA,ĠThe,ĠThe,ĠThe,ĠThe,ĠThe,ĠThe,Âł,ĠThe,1,1,1,1,1,1,10,1,ellen
"Using Answer Using one word only :  The human body has ____ bones.
 Answer: ",206,206,206,206,206,206,ĠThe,ĠThe,ĠThe,ĠThe,ĠThe,ĠThe,ĠThe,ĠThe,6,ĠThe,ĠThe,ĠThe,ĠThe,ĠThe,ĠThe,ĠThe,ĠThe,ĠThe,1,Ġ,2,1,1,1,10,1,ellen
"Using Answer Using one word only :  1 kilogram is equal to ____ grams.
 Answer: ",100,100,100,100,Ġ,100,Ġ,Ġ,100,100,100,100,Ġ,Ġ,Ġ,Ġ,Ġ,Ġ,Ġ,Ġ,1,Ġ,Ġ,Ġ,1,1,1,Âł,1,1,1,1,ellen
"Using Answer Using one word only :  The SI unit of temperature is ____.
 Answer: ",ĠKelvin,ĠKelvin,ĠKelvin,ĠKelvin,ĠKelvin,ĠKelvin,ĠKelvin,ĠKelvin,ĠKelvin,ĠK,ĠKelvin,ĠKelvin,ĠKelvin,ĠKelvin,ĠKelvin,ĠThe,ĠA,ĠThe,ĠThe,ĠThe,ĠThe,ĠThe,Âł,ĠThe,1,1,1,1,1,1,10,1,ellen
"Using Answer Using one word only :  The Earth revolves around the ____.
 Answer: ",ĠSun,ĠThe,ĠThe,ĠSun,ĠThe,ĠThe,ĠThe,ĠThe,ĠThe,ĠThe,ĠThe,ĠThe,ĠThe,ĠSun,ĠThe,ĠThe,ĠThe,ĠThe,ĠThe,ĠThe,ĠThe,ĠThe,ĠThe,ĠThe,1,1,1,1,1,1,10,1,ellen
"Using Answer Using one word only :  A right angle is ____ degrees.
 Answer: ",90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,Ġ,Ġ,Ġ,Ġ,Ġ,Ġ,Ġ,Ġ,1,Ġ,2,1,1,1,1,1,ellen
"Using Answer Using one word only :  The first computer programmer was Ada ____.
 Answer: ",ĠLov,ĠLov,ĠLov,ĠLov,ĠLov,ĠLov,ĠLov,ĠLov,ĠLov,ĠAda,ĠAda,ĠAda,ĠAda,ĠAda,ĠAda,ĠAda,ĠAda,ĠA,ĠA,ĠThe,ĠThe,ĠThe,ĠThe,ĠThe,1,Ġ,2,1,1,1,10,1,ellen
"Using Answer Using one word only :  The author of ""The Odyssey"" was ____.
 Answer: ",ĠHomer,ĠHomer,ĠHomer,ĠHomer,ĠHomer,ĠHomer,ĠHomer,ĠHomer,ĠHomer,ĠHomer,ĠHomer,ĠHomer,ĠHomer,ĠHomer,ĠHomer,ĠThe,ĠThe,ĠThe,ĠThe,ĠThe,ĠThe,ĠThe,ĠThe,ĠThe,1,1,2,1,1,1,1,1,ellen
"Using Answer Using one word only :  The capital of Australia is ____.
 Answer: ",ĠCanberra,ĠCanberra,ĠCanberra,ĠCanberra,ĠCanberra,ĠCanberra,ĠCanberra,ĠCanberra,ĠCanberra,ĠCanberra,ĠCanberra,ĠCanberra,ĠThe,ĠCanberra,ĠCanberra,ĠCanberra,ĠThe,ĠThe,ĠThe,ĠThe,ĠThe,ĠThe,ĠThe,ĠThe,1,1,1,1,1,1,10,1,ellen
"Using Answer Using one word only :  The speed of light is approximately 3 x ____ m/s.
 Answer: ",10,10,10,10,10,10,Ġ,Ġ,Ġ,Ġ,Ġ,Ġ,Ġ,Ġ,3,Ġ,3,3,3,3,3,3,3,3,1,1,2,1,2,1,10,1,ellen
"Using Answer Using one word only :  15 ÷ 3 = ____.
 Answer: ",5,5,5,5,5,5,5,5,5,5,5,5,5,5,15,15,Ġ,Ġ,Ġ,Ġ,Ġ,Ġ,15,Ġ,15,15,15,Ġ,Ġ,1,10,1,ellen
"Using Answer Using one word only :  9 × 9 = ____.
 Answer: ",81,81,81,81,81,81,81,81,81,81,81,81,81,81,Ġ,Ġ,Ġ,Ġ,Ġ,9,9,Ġ,9,9,9,9,9,Âł,10,1,10,1,ellen
"Using Answer Using one word only :  18 + 7 = ____.
 Answer: ",25,25,25,25,25,25,Ġ,25,Ġ,Ġ,Ġ,25,Ġ,Ġ,Ġ,Ġ,Ġ,Ġ,Ġ,18,Ġ,Ġ,Ġ,Ġ,Ġ,18,18,Ġ,Ġ,1,10,1,ellen
"Using Answer Using one word only :  40 − 8 = ____.
 Answer: ",32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,Ġ,Ġ,Âł,Ġ,Ġ,Ġ,Ġ,Ġ,40,40,40,Âł,Âł,1,10,1,ellen
"Using Answer Using one word only :  The area of a circle is πr², where r is the ____.
 Answer: ",Ġradius,Ġradius,Ġradius,Ġradius,Ġradius,Ġradius,Ġradius,Ġradius,Ġradius,Ġradius,Ġdiameter,ĠThe,ĠAnswer,2,2,ĠThe,ĠThe,ĠThe,ĠThe,ĠThe,ĠThe,ĠThe,Âł,Ġ,1,1,2,1,1,1,1,1,ellen
"Using Answer Using one word only :  10 squared is ____.
 Answer: ",100,100,100,100,100,100,100,100,100,100,100,100,10,10,10,10,Ġ,10,Ġ,10,10,Ġ,10,10,10,10,10,Âł,10,1,10,1,ellen
"Using Answer Using one word only :  1 + 2 × 3 = ____.
 Answer: ",6,6,6,Ġ,Ġ,7,Ġ,Ġ,6,6,6,6,5,5,Ġ,Ġ,Ġ,Ġ,Ġ,Ġ,Ġ,Ġ,1,Ġ,1,1,1,1,1,1,1,1,ellen
"Using Answer Using one word only :  The sum of angles in a triangle is ____ degrees.
 Answer: ",180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,Ġ,Ġ,Ġ,Ġ,Ġ,Ġ,Ġ,Ġ,1,1,2,1,1,1,10,1,ellen
"Using Answer Using one word only :  If 2x = 10, then x = ____.
 Answer: ",5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,10,10,Ġ,Ġ,Ġ,1,Ġ,1,1,1,1,2,2,2,1,1,1,ellen
"Using Answer Using one word only :  0.25 as a percentage is ____%.
 Answer: ",25,25,25,25,25,25,25,25,25,25,25,25,Ġ,Ġ,Ġ,100,Ġ,Ġ,Ġ,Ġ,Ġ,Ġ,Ġ,Ġ,1,Ġ,1,1,1,1,1,1,ellen
"Using Answer Using one word only :  Advanced and Specific
 Answer: ",ĠAdvanced,ĠAdvanced,ĠAdvanced,ĠAdvanced,ĠAdvanced,ĠAdvanced,ĠAdvanced,ĠAdvanced,ĠAdvanced,2,2,2,2,4,ĠAnswer,ĠA,ĠAdvanced,ĠA,ĠAdvanced,ĠA,ĠA,ĠAdvanced,Ġ[,1,1,Ġ,1,Âł,1,1,1,1,ellen
"Using Answer Using one word only :  The square of 12 is ____.
 Answer: ",144,144,144,144,144,144,144,144,144,144,144,144,144,144,Ġ,Ġ,Ġ,Ġ,Ġ,12,Ġ,Ġ,1,Ġ,1,1,2,1,1,1,10,1,ellen
"Using Answer Using one word only :  The capital of Egypt is ____.
 Answer: ",ĠCairo,ĠCairo,ĠCairo,ĠCairo,ĠCairo,ĠCairo,ĠCairo,ĠCairo,ĠCairo,ĠCairo,ĠCairo,ĠCairo,ĠCairo,ĠCairo,ĠCairo,ĠCairo,ĠA,ĠEgypt,ĠThe,ĠThe,ĠThe,ĠThe,ĠThe,ĠThe,1,1,1,1,1,1,10,1,ellen
"Using Answer Using one word only :  The programming language developed by Guido van Rossum is ____.
 Answer: ",ĠPython,ĠPython,ĠPython,ĠPython,ĠPython,ĠPython,ĠPython,ĠPython,ĠPython,ĠPython,ĠPython,ĠPython,ĠPython,ĠPython,ĠPython,ĠPython,ĠPython,ĠPython,ĠThe,ĠThe,ĠThe,ĠThe,ĠThe,ĠThe,1,1,2,1,1,1,10,1,ellen
"Using Answer Using one word only :  A group of lions is called a ____.
 Answer: ",ĠPride,ĠPride,ĠA,ĠA,ĠA,ĠA,ĠA,ĠA,ĠA,ĠA,ĠA,ĠA,ĠA,ĠA,ĠA,ĠA,ĠA,ĠA,ĠA,ĠA,ĠA,ĠA,ĠA,ĠA,ĠA,ĠA,2,1,1,1,1,1,ellen
"Using Answer Using one word only :  The process of a caterpillar becoming a butterfly is called ____.
 Answer: ",Ġmetam,Ġmetam,Ġmetam,Ġmetam,Ġmetam,Ġmetam,Ġmetam,Ġmetam,Ġmetam,Ġmetam,Ġmetam,Ġmetam,Ġmetam,Ġmetam,Ġmetam,Ġmetam,ĠA,ĠThe,ĠThe,ĠThe,ĠThe,ĠThe,ĠThe,ĠThe,1,1,2,1,1,1,1,1,ellen
"Using Answer Using one word only :  The boiling point of water in Fahrenheit is ____.
 Answer: ",212,212,212,212,212,212,212,212,212,212,212,212,Ġ,Ġ,Ġ,180,Ġ,Ġ,Ġ,Ġ,Ġ,Ġ,100,Ġ,1,1,1,1,1,1,10,1,ellen
"Using Answer Using one word only :  The Pythagorean theorem is a² + b² = ____.
 Answer: ",Ġc,Ġc,Ġc,Ġc,Ġc,Ġc,Ġc,Ġc,Ġc,Ġc,Ġc,Ġ,Ġ,Ġ,Ġ,ĠThe,ĠB,ĠB,ĠA,Ġ,2,Ġ,Âł,Ġ,1,1,2,2,1,1,1,1,ellen
"Using Answer Using one word only :  The distance around a circle is called the ____.
 Answer: ",Ġcircumference,Ġcircumference,Ġcircumference,Ġcircumference,ĠThe,ĠThe,ĠThe,Ġcircumference,Ġcircumference,Ġcircumference,ĠThe,ĠThe,ĠThe,ĠThe,ĠCircle,ĠThe,ĠThe,ĠThe,ĠThe,ĠThe,ĠThe,ĠThe,ĠThe,ĠThe,1,1,2,1,1,1,10,1,ellen
"Using Answer Using one word only :  The currency of India is the ____.
 Answer: ",Ġru,Ġru,ĠRu,ĠRu,ĠThe,ĠThe,ĠThe,ĠThe,ĠThe,ĠThe,ĠAnswer,ĠAnswer,ĠThe,ĠThe,ĠAnswer,ĠThe,ĠThe,ĠThe,ĠThe,ĠThe,ĠThe,ĠThe,ĠThe,ĠThe,1,1,1,1,1,1,10,1,ellen
"Using Answer Using one word only :  The symbol for the speed of light in physics is ____.
 Answer: ",Ġc,Ġc,Ġc,Ġc,Ġc,Ġc,Ġc,Ġc,Ġc,Ġc,Ġc,Ġc,Ġc,Ġc,ĠA,ĠThe,ĠThe,ĠThe,ĠThe,ĠThe,ĠThe,ĠThe,Âł,1,1,1,1,1,1,1,10,1,ellen
"Using Answer Using one word only :  The capital of Italy is ____
 Answer: ",ĠRome,ĠRome,ĠRome,ĠRome,ĠRome,ĠRome,ĠRome,ĠRome,ĠRome,ĠRome,ĠRome,ĠRome,ĠRome,ĠRome,ĠRome,ĠRome,ĠA,ĠItaly,ĠThe,ĠThe,ĠThe,ĠThe,Âł,1,1,Ġ,1,Âł,Ġ,1,10,1,ellen
"Using Answer Using one word only :  The largest ocean on Earth is the ____
 Answer: ",ĠPacific,ĠPacific,ĠPacific,ĠPacific,ĠPacific,ĠPacific,ĠPacific,ĠPacific,ĠPacific,ĠPacific,ĠPacific,ĠPacific,ĠThe,ĠPacific,ĠOcean,ĠThe,ĠSea,ĠThe,ĠThe,ĠThe,ĠThe,ĠThe,Âł,1,1,Ġ,1,Âł,Âł,1,10,1,ellen
"Using Answer Using one word only :  Ice melts at ____ degrees Celsius
 Answer: ",0,0,0,0,0,0,0,0,0,0,0,0,0,0,Ġ,ĠIce,Ġ,6,Ġ,6,Ġ,ĠIce,Ġ,Ġ,1,6,Âł,Âł,Âł,1,10,1,ellen
"Using Answer Using one word only :  The chemical symbol for silver is ____
 Answer: ",ĠAg,ĠAg,ĠAg,ĠAg,ĠAg,ĠAg,ĠAg,ĠAg,ĠAg,ĠAg,ĠSilver,ĠSilver,ĠSilver,ĠSilver,ĠSilver,ĠSilver,ĠSilver,Ġ\,ĠThe,ĠThe,Âł,ĠThe,Âł,1,1,Ġ,2,1,Âł,1,10,1,ellen
"Using Answer Using one word only :  The Pyramids of Giza are located in ____
 Answer: ",ĠEgypt,ĠEgypt,ĠEgypt,ĠEgypt,ĠEgypt,ĠEgypt,ĠEgypt,ĠEgypt,ĠEgypt,ĠEgypt,ĠEgypt,ĠEgypt,ĠEgypt,ĠEgypt,ĠEgypt,ĠEgypt,ĠG,ĠG,ĠThe,ĠThe,ĠThe,ĠThe,Âł,ĠThe,1,Ġ,2,1,Âł,1,10,1,ellen
"Using Answer Using one word only :  The currency of the United Kingdom is the ____
 Answer: ",ĠPound,ĠPound,ĠPound,ĠPound,Ġpound,ĠPound,Ġpound,Ġpound,Ġpound,Ġpound,Ġpound,Ġpound,ĠPound,Ġpound,Ġpound,ĠThe,ĠThe,ĠThe,ĠThe,ĠThe,ĠThe,ĠThe,ĠThe,ĠThe,1,Ġ,1,1,Ġ,1,10,1,ellen
"Using Answer Using one word only :  The second largest river in the world is the ____
 Answer: ",ĠAmazon,ĠAmazon,ĠYang,ĠYang,ĠYang,ĠAmazon,ĠYang,ĠThe,ĠG,ĠG,ĠAmazon,ĠAmazon,ĠAmazon,ĠThe,ĠRiver,ĠThe,ĠB,ĠThe,ĠThe,ĠThe,ĠThe,ĠThe,ĠThe,ĠThe,1,Ġ,1,Âł,Ġ,1,10,1,ellen
"Using Answer Using one word only :  The tallest building in the world is the ____
 Answer: ",ĠBur,ĠBur,ĠBur,1,ĠBur,ĠBur,ĠThe,ĠThe,ĠThe,ĠThe,ĠThe,ĠThe,ĠThe,Ġskys,Ġskys,ĠThe,Ġtallest,ĠThe,ĠThe,ĠThe,ĠThe,ĠThe,ĠThe,ĠThe,1,Ġ,1,Âł,Ġ,1,10,1,ellen
"Using Answer Using one word only :  The primary language spoken in Argentina is ____
 Answer: ",ĠSpanish,ĠSpanish,ĠSpanish,ĠSpanish,ĠSpanish,ĠSpanish,ĠSpanish,ĠSpanish,ĠSpanish,ĠSpanish,ĠSpanish,ĠSpanish,ĠSpanish,ĠSpanish,ĠArgentina,ĠSpanish,ĠSpanish,ĠArgentina,ĠThe,ĠThe,ĠThe,ĠThe,ĠThe,ĠThe,1,Ġ,1,Âł,Âł,1,10,1,ellen
"Using Answer Using one word only :  The atomic number of hydrogen is ____
 Answer: ",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,4,2,7,1,1,1,Ġ,2,Âł,Âł,1,10,1,ellen
"Using Answer Using one word only :  6 + 4 = ____
 Answer: ",10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,Ġ,Ġ,6,6,6,6,6,6,Ġ,6,Ġ,6,Ġ,Ġ,1,1,1,ellen
"Using Answer Using one word only :  15 ÷ 3 = ____
 Answer: ",5,5,5,5,5,5,5,5,5,5,5,5,5,5,15,7,Ġ,3,Ġ,Ġ,15,Ġ,15,Ġ,5,Ġ,15,Ġ,Ġ,Ġ,10,1,ellen
"Using Answer Using one word only :  The square root of 25 is ____
 Answer: ",5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,Ġ,Ġ,Ġ,Ġ,Ġ,25,Ġ,1,1,1,Ġ,1,1,Âł,1,10,1,ellen
"Using Answer Using one word only :  9 × 6 = ____
 Answer: ",54,54,54,54,54,54,54,54,54,54,54,54,Ġ,54,Ġ,Ġ,Ġ,Ġ,Ġ,Ġ,9,Ġ,Ġ,9,9,Ġ,9,Âł,Âł,1,10,1,ellen
"Using Answer Using one word only :  30 − 14 = ____
 Answer: ",16,16,16,16,16,16,16,16,16,16,16,16,16,16,6,6,Ġ,Ġ,Ġ,4,30,Ġ,Ġ,Ġ,30,30,30,Âł,Âł,Ġ,10,1,ellen
"Using Answer Using one word only :  The area of a square with side length 7 is ____
 Answer: ",49,49,49,49,49,49,49,49,49,49,49,49,Ġ,Ġ,Ġ,Ġ,Ġ,7,7,7,7,7,Âł,7,1,Ġ,2,Âł,Âł,1,10,1,ellen
"Using Answer Using one word only :  The perimeter of a rectangle with length 8 and width 6 is ____
 Answer: ",44,44,40,Ġ,Ġ,Ġ,24,24,24,24,Ġ,Ġ,Ġ,Ġ,Ġ,Ġ,Ġ,Ġ,Ġ,4,Ġ,Ġ,Ġ,4,1,Ġ,2,Âł,Âł,1,10,1,ellen
"Using Answer Using one word only :  The cube root of 64 is ____
 Answer: ",4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,3,3,3,3,4,4,Ġ,4,4,1,Ġ,2,1,Ġ,1,10,1,ellen
"Using Answer Using one word only :  If x = 5, then 3x + 2 = ____
 Answer: ",17,17,17,17,17,17,Ġ,Ġ,Ġ,17,17,17,17,Ġ,Ġ,Ġ,3,Ġ,Ġ,3,3,3,4,4,1,1,1,2,5,3,1,1,ellen
"Using Answer Using one word only :  200 − 50 × 4 = ____
 Answer: ",200,200,100,Ġ,Ġ,200,Ġ,200,Ġ,Ġ,Ġ,Ġ,Ġ,Ġ,Ġ,Ġ,Ġ,Ġ,Ġ,Ġ,Ġ,Ġ,Ġ,Ġ,Ġ,Ġ,Ġ,Âł,Âł,1,10,1,ellen
"Using Answer Using one word only :  The Taj Mahal is located in ____
 Answer: ",ĠA,ĠA,ĠA,ĠA,ĠA,ĠA,ĠA,ĠA,ĠA,ĠA,ĠA,ĠA,ĠA,ĠA,ĠIndia,ĠIndia,ĠIndia,ĠIndia,ĠThe,ĠThe,ĠThe,ĠThe,Âł,ĠThe,1,Ġ,1,Âł,Âł,1,10,1,ellen
"Using Answer Using one word only :  Mount Everest is in the ____ mountain range
 Answer: ",ĠHimal,ĠHimal,ĠHimal,ĠHimal,ĠHimal,ĠHimal,ĠHimal,ĠHimal,ĠHimal,ĠHimal,ĠHimal,ĠHimal,ĠHimal,ĠHimal,ĠHimal,ĠMount,ĠMount,ĠMount,ĠMount,ĠMount,ĠMount,ĠMount,Ġ,Ġ,1,Ġ,10,Âł,1,1,10,1,ellen
"Using Answer Using one word only :  The capital of Spain is ____
 Answer: ",ĠMadrid,ĠMadrid,ĠMadrid,ĠMadrid,ĠMadrid,ĠMadrid,ĠMadrid,ĠMadrid,ĠMadrid,ĠMadrid,ĠMadrid,ĠMadrid,ĠMadrid,ĠMadrid,ĠMadrid,ĠMadrid,ĠA,ĠSpain,ĠThe,ĠThe,ĠThe,ĠThe,Âł,ĠThe,1,Ġ,1,Âł,Âł,1,10,1,ellen
"Using Answer Using one word only :  The Amazon rainforest is primarily in ____
 Answer: ",ĠBrazil,ĠSouth,ĠSouth,ĠSouth,ĠSouth,ĠSouth,ĠSouth,ĠSouth,ĠA,ĠA,ĠA,Ġthe,Ġthe,Ġthe,ĠTropical,ĠTropical,ĠA,ĠThe,ĠThe,ĠThe,ĠThe,ĠThe,Âł,ĠThe,1,Ġ,1,Âł,Âł,1,10,1,ellen
"Using Answer Using one word only :  The Sahara is the largest ____ in the world
 Answer: ",Ġdesert,Ġdesert,Ġdesert,Ġdesert,Ġdesert,Ġdesert,Ġdesert,Ġdesert,Ġdesert,Ġdesert,Ġdesert,Ġdesert,Ġdesert,Ġdesert,Ġdesert,ĠA,ĠA,ĠA,ĠA,ĠThe,ĠThe,ĠThe,ĠThe,ĠThe,1,Ġ,2,1,1,1,10,1,ellen
"Using Answer Using one word only :  The Great Barrier Reef is found near ____
 Answer: ",ĠAustralia,ĠAustralia,ĠAustralia,ĠAustralia,ĠAustralia,ĠAustralia,ĠAustralia,ĠAustralia,ĠAustralia,ĠAustralia,ĠAustralia,ĠAustralia,ĠThe,ĠAustralia,ĠAustralia,ĠThe,ĠThe,ĠThe,ĠThe,ĠThe,ĠThe,ĠThe,Âł,ĠThe,1,Ġ,Âł,Âł,Âł,1,10,1,ellen
"Using Answer Using one word only :  The capital of Canada is ____
 Answer: ",ĠOttawa,ĠOttawa,ĠOttawa,ĠOttawa,ĠOttawa,ĠOttawa,ĠOttawa,ĠOttawa,ĠOttawa,ĠOttawa,ĠOttawa,ĠOttawa,ĠOttawa,ĠOttawa,ĠOttawa,ĠCapital,ĠCanada,ĠCanada,ĠThe,ĠThe,ĠThe,ĠThe,Âł,ĠThe,1,Ġ,1,Âł,Âł,1,10,1,ellen
"Using Answer Using one word only :  The Eiffel Tower is located in ____
 Answer: ",ĠParis,ĠParis,ĠParis,ĠParis,ĠParis,ĠParis,ĠParis,ĠParis,ĠParis,ĠParis,ĠParis,ĠParis,ĠParis,ĠFrance,ĠFrance,ĠFrance,ĠFrance,ĠFrance,ĠThe,ĠThe,ĠThe,ĠThe,Âł,ĠThe,1,Ġ,1,1,Âł,1,10,1,ellen
"Using Answer Using one word only :  The smallest planet in the solar system is ____
 Answer: ",ĠMercury,ĠMercury,ĠMercury,ĠMercury,ĠMercury,ĠMercury,ĠMercury,ĠMercury,ĠMercury,ĠMercury,ĠMercury,ĠMercury,ĠMercury,ĠMercury,1,ĠMercury,ĠThe,ĠThe,ĠThe,ĠThe,ĠThe,ĠThe,Âł,1,1,Ġ,Âł,Âł,Âł,1,10,1,ellen
"Using Answer Using one word only :  The Sun is a type of ____
 Answer: ",ĠStar,ĠStar,Ġstar,Ġstar,Ġstar,Ġstar,Ġstar,Ġstar,Ġstar,ĠThe,ĠThe,Ġstar,Ġstar,Ġstar,ĠSun,ĠA,ĠA,ĠA,ĠThe,ĠThe,ĠThe,ĠThe,Âł,ĠB,1,Ġ,1,1,Ġ,1,1,1,ellen
"Using Answer Using one word only :  Photosynthesis produces ____ as a byproduct
 Answer: ",ĠOxygen,ĠOxygen,ĠOxygen,ĠOxygen,Ġoxygen,Ġoxygen,Ġoxygen,Ġoxygen,ĠOxygen,ĠOxygen,ĠCO,ĠCO,ĠCO,ĠCarbon,ĠCarbon,ĠPhotos,ĠPhotos,ĠA,Ġ[,Ġ,Ġ,ĠPhotos,Âł,Ġ,1,1,1,1,1,1,10,1,ellen
"Using Answer Using one word only :  The process of a solid turning directly into a gas is called ____
 Answer: ",ĠSub,ĠSub,ĠSub,Ġsub,Ġsub,1,ĠVapor,ĠVapor,ĠVapor,ĠVapor,ĠThe,ĠThe,ĠThe,ĠThe,ĠThe,ĠThe,ĠThe,ĠThe,ĠThe,ĠThe,ĠThe,ĠThe,Âł,ĠThe,1,Ġ,1,1,Âł,1,10,1,ellen
"Using Answer Using one word only :  The smallest particle of an element is an ____
 Answer: ",ĠAtom,ĠAtom,Ġatom,Ġatom,Ġatom,Ġatom,Ġatom,Ġatom,Ġatom,Ġatom,ĠThe,ĠThe,Ġatom,Ġatom,Ġatom,Ġatom,ĠA,ĠThe,ĠThe,ĠThe,ĠThe,ĠThe,Âł,1,1,Ġ,1,1,1,1,1,1,ellen
"Using Answer Using one word only :  Lightning is caused by electrical ____
 Answer: ",Ġdischarge,ĠDis,ĠStatic,ĠStatic,ĠStatic,ĠStatic,ĠStatic,ĠLightning,ĠLightning,ĠLightning,ĠThe,ĠLightning,ĠLightning,Ġlightning,Ġlightning,ĠLightning,ĠLightning,ĠLightning,ĠLightning,ĠLightning,ĠLightning,ĠLightning,Âł,Âł,1,Ġ,1,Âł,Âł,1,10,1,ellen
"Using Answer Using one word only :  Humans breathe in oxygen and exhale ____
 Answer: ",ĠCarbon,ĠCarbon,ĠCarbon,ĠCarbon,ĠCarbon,ĠCarbon,ĠCarbon,ĠCarbon,Ġcarbon,Ġcarbon,Ġcarbon,Ġcarbon,ĠCarbon,ĠCarbon,ĠCarbon,ĠH,ĠH,ĠH,ĠHumans,ĠH,ĠHumans,ĠHumans,Âł,Âł,1,Ġ,2,Âł,Âł,1,10,1,ellen
"Using Answer Using one word only :  The primary gas in Earth's atmosphere is ____
 Answer: ",ĠOxygen,ĠOxygen,ĠOxygen,ĠOxygen,ĠOxygen,ĠOxygen,ĠOxygen,ĠOxygen,ĠOxygen,ĠOxygen,ĠOxygen,ĠOxygen,ĠOxygen,ĠOxygen,Ġoxygen,ĠOxygen,ĠA,ĠThe,ĠThe,ĠThe,ĠThe,ĠThe,Âł,Âł,1,1,1,1,Âł,1,10,1,ellen
"Using Answer Using one word only :  The Milky Way is a ____
 Answer: ",Ġgalaxy,Ġgalaxy,Ġgalaxy,Ġgalaxy,Ġgalaxy,Ġgalaxy,Ġgalaxy,Ġgalaxy,Ġgalaxy,Ġgalaxy,Ġgalaxy,Ġgalaxy,Ġgalaxy,Ġgalaxy,Ġgalaxy,ĠThe,ĠThe,ĠThe,ĠThe,ĠThe,ĠThe,ĠThe,Âł,ĠThe,1,Ġ,1,Âł,Âł,1,10,1,ellen
"Using Answer Using one word only :  The closest star to Earth is the ____
 Answer: ",ĠSun,ĠThe,ĠThe,ĠThe,ĠThe,ĠSun,ĠThe,ĠThe,ĠSun,ĠSun,ĠSun,ĠSun,ĠSun,ĠSun,ĠSun,ĠThe,ĠEarth,ĠEarth,ĠThe,ĠThe,ĠThe,ĠThe,Âł,1,1,Ġ,1,Âł,Âł,1,10,1,ellen
"Using Answer Using one word only :  The hardest natural substance on Earth is ____
 Answer: ",ĠDiamond,ĠDiamond,ĠDiamond,ĠDiamond,ĠDiamond,ĠDiamond,ĠDiamond,Ġdiamond,Ġdiamond,Ġdiamond,Ġdiamond,Ġdiamond,Ġdiamond,Ġdiamond,Ġhard,ĠHard,ĠHard,ĠThe,ĠThe,ĠThe,ĠThe,ĠThe,Âł,Âł,1,Ġ,2,Âł,Âł,1,10,1,ellen
"Using Answer Using one word only :  The largest desert on Earth is the ____
 Answer: ",ĠSahara,ĠSahara,ĠSahara,ĠSahara,ĠThe,ĠSahara,ĠSahara,ĠSahara,ĠSahara,ĠSahara,ĠSahara,ĠSahara,ĠSahara,ĠSahara,ĠSahara,ĠSahara,ĠSahara,ĠThe,ĠThe,ĠThe,ĠThe,ĠThe,Âł,ĠThe,1,Ġ,1,Âł,Âł,1,10,1,ellen
"Using Answer Using one word only :  The capital of Russia is ____
 Answer: ",ĠMoscow,ĠMoscow,1,1,1,1,ĠMoscow,ĠMoscow,ĠMoscow,ĠMoscow,ĠMoscow,ĠMoscow,ĠMoscow,ĠMoscow,ĠMoscow,ĠMoscow,ĠA,ĠRussia,ĠThe,ĠThe,ĠThe,ĠThe,Âł,1,1,Ġ,1,1,Âł,1,10,1,ellen
"Using Answer Using one word only :  The Mona Lisa was painted by ____
 Answer: ",ĠLeonardo,ĠLeonardo,ĠLeonardo,ĠLeonardo,ĠLeonardo,ĠLeonardo,ĠLeonardo,ĠLeonardo,ĠLeonardo,ĠLeonardo,ĠLeonardo,ĠLeonardo,ĠLeonardo,ĠLeonardo,ĠLeonardo,ĠLeonardo,ĠLeonardo,ĠThe,ĠThe,ĠThe,ĠThe,ĠThe,Âł,ĠThe,1,Ġ,1,Âł,Ġ,1,10,1,ellen
