Question,layer_17,layer_16,layer_15,layer_14,layer_13,layer_12,layer_11,layer_10,layer_9,layer_8,layer_7,layer_6,layer_5,layer_4,layer_3,layer_2,layer_1
"Using Answer Using one word only :  The second largest river in the world is the ____
 Answer: ",ĠAmazon,ĠAmazon,ĠNile,Ġriver,Ġriver,ÏĦÏģÎŃ,Å¡tÄĽnÃŃ,bÃŃ,wert,icals,idth,technical,ç¾©,member,Ġ,Ġ,Ġ
"Using Answer Using one word only :  The tallest building in the world is the ____
 Answer: ",ĠBur,Ġtower,Ġtallest,Ġtallest,Ġtallest,Ġtallest,Ġskys,ovsky,wert,icals,idth,technical,ç¾©,member,Ġ,Ġ,Ġ
"Using Answer Using one word only :  The primary language spoken in Argentina is ____
 Answer: ",ĠSpanish,ĠSpanish,ĠSpanish,ĠEnglish,English,English,Ġcuisine,ska,wert,icals,idth,IVERY,ç¾©,member,Ġ,Ġ,Ġ
"Using Answer Using one word only :  The atomic number of hydrogen is ____
 Answer: ",1,Ġproton,Ġproton,Ġproton,Ġatomic,Ġatomic,utherford,isz,wert,icals,xit,technical,ç¾©,member,Ġ,Ġ,Ġ
"Using Answer Using one word only :  6 + 4 = ____
 Answer: ",10,10,12,Eight,six,rÃ¡l,rÃ¡l,IFF,wert,Tweet,lete,technical,ç¾©,member,Ġ,Ġ,Ġ
"Using Answer Using one word only :  15 ÷ 3 = ____
 Answer: ",5,5,5,ĠFifth,Ġdivisible,ÑĢÐ¾Ð²,rÃ¡l,LI,wert,Tweet,lete,technical,ç¾©,member,Ġ,Ġ,Ġ
"Using Answer Using one word only :  The square root of 25 is ____
 Answer: ",5,5,5,igt,Ġsqrt,ÅĽli,rael,Å¡k,wert,icals,lete,technical,ç¾©,member,Ġ,Ġ,Ġ
"Using Answer Using one word only :  9 × 6 = ____
 Answer: ",54,54,54,prech,ĠNinth,ÅĻÃŃt,rÃ¡l,IFF,wert,Tweet,lete,ethyl,ç¾©,self,Ġ,Ġ,Ġ
"Using Answer Using one word only :  30 − 14 = ____
 Answer: ",16,16,16,ĠBlast,31,remaining,rÃ¡l,Ã¡c,Later,Tweet,Ð»Ð°,ethyl,ç¾©,self,Ġ,Ġ,Ġ
"Using Answer Using one word only :  The area of a square with side length 7 is ____
 Answer: ",Ġ,Ġ,63,cling,cling,Ġperimeter,Ġfours,IFF,wert,icals,awe,technical,ç¾©,member,Ġ,Ġ,Ġ
"Using Answer Using one word only :  The perimeter of a rectangle with length 8 and width 6 is ____
 Answer: ",Ġ,40,36,36,total,#NAME?,Ġfours,IFF,wert,icals,awe,technical,ç¾©,member,Ġ,Ġ,Ġ
"Using Answer Using one word only :  The cube root of 64 is ____
 Answer: ",8,8,8,Ġeighth,Six,Âłro,rael,Å¡k,wert,icals,lete,technical,ç¾©,member,Ġ,Ġ,Ġ
"Using Answer Using one word only :  If x = 5, then 3x + 2 = ____
 Answer: ",Ġ,Ġ,13,13,Ġsixth,Ø§Ø¦,ÅĻÃŃt,LI,ibli,icals,lete,íķ©,ç¾©,member,Ġ,Ġ,Ġ
"Using Answer Using one word only :  200 − 50 × 4 = ____
 Answer: ",Ġ,Ġ,150,ÑĳÐ¼,undred,imest,rÃ¡l,Ġafterwards,Later,Tweet,lete,ethyl,ç¾©,member,Ġ,Ġ,Ġ
"Using Answer Using one word only :  The Taj Mahal is located in ____
 Answer: ",ĠA,ĠIndia,ĠIndia,ĠIndia,ĠIndia,Ã¡h,ĠÐ¼ÐµÑģÑĤÐµ,noÅĽci,wert,icals,idth,technical,ç¾©,Ġdivided,Ġ,Ġ,Ġ
"Using Answer Using one word only :  Mount Everest is in the ____ mountain range
 Answer: ",ĠHimal,Ġmountain,ĠHimal,ĠHimal,ĠHimal,Ġmountain,fÃ¶r,wert,wert,icals,idth,íķ©,ç¾©,self,Ġ,Ġ,Ġ
"Using Answer Using one word only :  The capital of Spain is ____
 Answer: ",ĠMadrid,ĠMadrid,ĠMadrid,ĠMadrid,ĠMadrid,Ġcapitals,Ġcapitals,Ġven,wert,icals,xit,technical,ç¾©,member,Ġ,Ġ,Ġ
"Using Answer Using one word only :  The Amazon rainforest is primarily in ____
 Answer: ",ĠSouth,ĠAmazon,ĠAmazon,ĠAmazon,ĠAmazon,inha,Å¡k,ÑģÑĤÑĢÐ°,wert,icals,idth,technical,ç¾©,self,Ġ,Ġ,Ġ
"Using Answer Using one word only :  The Sahara is the largest ____ in the world
 Answer: ",Ġlargest,Ġlargest,ĠLargest,ĠLargest,Ġlargest,Ġlargest,ÄĽlÃŃ,ovsky,wert,icals,xit,íķ©,ĠImpossible,member,Ġ,Ġ,Ġ
"Using Answer Using one word only :  The Great Barrier Reef is found near ____
 Answer: ",ĠAustralia,ĠAustralia,ĠAustralia,ĠAustralia,ĠAustralia,Ġcoastline,oley,pecting,wert,icals,idth,technical,ç¾©,member,Ġ,Ġ,Ġ
"Using Answer Using one word only :  The capital of Canada is ____
 Answer: ",ĠOttawa,ĠOttawa,ĠOttawa,ĠOttawa,ĠOttawa,Ġcapitals,Å¡tÄĽnÃŃ,Ġven,wert,icals,xit,technical,ç¾©,member,Ġ,Ġ,Ġ
"Using Answer Using one word only :  The Eiffel Tower is located in ____
 Answer: ",ĠParis,ĠParis,ĠParis,ĠParis,ĠParis,Ġparis,park,ovsky,wert,icals,idth,technical,ç¾©,Ġdivided,Ġ,Ġ,Ġ
"Using Answer Using one word only :  The smallest planet in the solar system is ____
 Answer: ",ĠMercury,ĠEarth,ĠEarth,Ġplanets,Ġplanets,Ġsmallest,Ġspaceship,fÃ¶r,wert,icals,lete,technical,ç¾©,member,Ġ,Ġ,Ġ
"Using Answer Using one word only :  The Sun is a type of ____
 Answer: ",Ġstar,Ġstar,Ġsun,Ġsun,ĠSuns,Ġcelestial,Ġcelestial,ovsky,wert,icals,.chdir,technical,ç¾©,member,Ġ,Ġ,Ġ
"Using Answer Using one word only :  Photosynthesis produces ____ as a byproduct
 Answer: ",Ġoxygen,Ġoxygen,Ġsugars,Ġoxygen,Ġcarbon,rikes,rikes,ĠØ§ÙĦØ¨ÙĬ,wert,icals,xit,íķ©,ĠImpossible,self,Ġ,Ġ,Ġ
"Using Answer Using one word only :  The process of a solid turning directly into a gas is called ____
 Answer: ",Ġvapor,Ġmelting,Ġcombustion,ĠConversion,Ġcombustion,Ġfracking,Ġmilli,ovsky,wert,icals,idth,íķ©,ç¾©,member,Ġ,Ġ,Ġ
"Using Answer Using one word only :  The smallest particle of an element is an ____
 Answer: ",Ġatom,Ġatom,Ġatom,Ġatoms,Ġatoms,Ã³m,andÄ±r,ovsky,wert,icals,lete,íķ©,ç¾©,member,Ġ,Ġ,Ġ
"Using Answer Using one word only :  Lightning is caused by electrical ____
 Answer: ",Ġlightning,Ġelectrical,Ġlightning,Ġlightning,Ġlightning,Ġlightning,/weather,ĠØ§ÙĦØ¨ÙĬ,itra,Ð¸ÑĤÐ¸,.chdir,technical,ç¾©,tr,Ġ,Ġ,Ġ
"Using Answer Using one word only :  Humans breathe in oxygen and exhale ____
 Answer: ",Ġcarbon,ĠCO,Ġoxygen,Ġoxygen,ĠOxygen,inha,rikes,ĠØ§ÙĦØ¨ÙĬ,wert,Ð¸ÑĤÐ¸,lete,íķ©,ç¾©,elf,Ġ,Ġ,Ġ
"Using Answer Using one word only :  The primary gas in Earth's atmosphere is ____
 Answer: ",Ġoxygen,Ġnitrogen,Ġoxygen,Ġgases,Ġatmospheric,rikes,ĠAtmospheric,fik,wert,icals,lete,technical,ç¾©,member,Ġ,Ġ,Ġ
"Using Answer Using one word only :  The Milky Way is a ____
 Answer: ",Ġgalaxy,Ġgal,ĠMilky,Ġcelestial,ĠMilky,oplan,Ġcelestial,ovsky,wert,icals,.chdir,technical,ç¾©,member,Ġ,Ġ,Ġ
"Using Answer Using one word only :  The closest star to Earth is the ____
 Answer: ",ĠSun,ĠSun,ĠSun,Ġsun,Ġplanets,Ġplanets,Ġplanets,Äįka,wert,icals,lete,technical,ç¾©,member,Ġ,Ġ,Ġ
"Using Answer Using one word only :  The hardest natural substance on Earth is ____
 Answer: ",Ġdiamond,Ġdiamond,Ġmagma,Ġmagma,Ġgeological,Ġtrillion,ĠGeological,ovsky,wert,icals,lete,technical,ç¾©,member,Ġ,Ġ,Ġ
"Using Answer Using one word only :  The largest desert on Earth is the ____
 Answer: ",ĠSahara,ĠSahara,Ġdesert,Ġdesert,Ġdesert,omap,rikes,bÃŃ,wert,icals,idth,technical,ç¾©,member,Ġ,Ġ,Ġ
"Using Answer Using one word only :  The capital of Russia is ____
 Answer: ",ĠMoscow,ĠMoscow,ĠMoscow,ĠMoscow,ĠMoscow,Ġcapitals,Ġcapitals,Ġven,ibli,icals,xit,technical,ç¾©,member,Ġ,Ġ,Ġ
"Using Answer Using one word only :  The Mona Lisa was painted by ____
 Answer: ",ĠLeonardo,ĠLeonardo,Ġpainting,Ġpainting,Ġpainters,artist,Ġpainters,ovsky,wert,icals,idth,technical,ç¾©,member,Ġ,Ġ,Ġ
"Using Answer Using one word only :  The Titanic sank in ____
 Answer: ",ĠThe,ĠInto,Ġiceberg,Ġiceberg,Ġocean,Ġcatast,åĩ»,ovsky,wert,icals,lete,technical,ç¾©,member,Ġ,Ġ,Ġ
"Using Answer Using one word only :  The first man in space was Yuri ____
 Answer: ",ĠYuri,ĠYuri,Ġastronaut,Ġastronaut,Ġastronaut,Ġastronaut,Ġastronauts,ovsky,wert,icals,xit,technical,ç¾©,member,Ġ,Ġ,Ġ
"Using Answer Using one word only :  The year the Berlin Wall fell was ____
 Answer: ",198,Ġ,199,Ġcommunism,Ġcommunism,unist,Ġberlin,ovsky,wert,icals,idth,technical,ç¾©,Ġdivided,Ġ,Ġ,Ġ
"Using Answer Using one word only :  The capital of Australia is ____
 Answer: ",ĠCanberra,ĠCanberra,ĠCanberra,ĠCanberra,ĠCanberra,Ġcapitals,Ġcapitals,Ġven,wert,icals,xit,technical,ç¾©,member,Ġ,Ġ,Ġ
"Using Answer Using one word only :  The speed of sound in air is approximately ____ m/s
 Answer: ",Ġ,Ġ,Ġsound,ĠSOUND,speed,Ġspeeds,Ġspeeds,ovsky,wert,icals,xit,íķ©,ç¾©,member,Ġ,Ġ,Ġ
"Using Answer Using one word only :  A triangle has ____ sides
 Answer: ",3,Ġthree,Ġtriangles,Ġtriangles,Ġtriangles,Ġfours,Ġfours,Ġfours,wert,icals,xit,íķ©,ç¾©,member,Ġ,Ġ,Ġ
"Using Answer Using one word only :  The boiling point of water in Kelvin is ____
 Answer: ",273,Ġ,okt,Ġtherm,temperature,temperature,Ġmilli,IFF,wert,icals,lete,technical,ç¾©,member,Ġ,Ġ,Ġ
"Using Answer Using one word only :  The freezing point of water in Fahrenheit is ____
 Answer: ",32,Ġ,Ġfreezing,Ġfreezing,Ġfreezing,temperature,okt,IFF,wert,icals,xit,technical,ç¾©,member,Ġ,Ġ,Ġ
"Using Answer Using one word only :  A rectangle has ____ right angles
 Answer: ",90,Ġright,Ġacute,Ġangles,Ġangles,Ġangles,Ġfours,IFF,wert,icals,xit,íķ©,ĠImpossible,member,Ġ,Ġ,Ġ
"Using Answer Using one word only :  The chemical formula for water is ____
 Answer: ",ĠH,ĠH,ĠHOH,water,ĠWATER,olecule,Ġphysicists,isz,wert,icals,lete,íķ©,ç¾©,member,Ġ,Ġ,Ġ
"Using Answer Using one word only :  The element with atomic number 1 is ____
 Answer: ",Ġhydrogen,ĠHydro,Ġhydrogen,Ġhydrogen,ĠUran,ahkan,Ġphysicists,Äįka,wert,icals,lete,technical,ç¾©,member,Ġ,Ġ,Ġ
"Using Answer Using one word only :  The square of 15 is ____
 Answer: ",225,225,225,Ø§ÙĦÙĬ,Ø§ÙĦÙĬ,ippo,Ġfours,Ð±Ð¾Ð¼,wert,icals,lete,technical,ç¾©,member,Ġ,Ġ,Ġ
"Using Answer Using one word only :  The cube of 3 is ____
 Answer: ",27,Ġ,Ġnine,Ġninth,Ġcubes,ÃŃk,âĢĻB,Ð±Ð¾Ð¼,wert,icals,lete,technical,ç¾©,member,Ġ,Ġ,Ġ
"Using Answer Using one word only :  The square root of 144 is ____
 Answer: ",12,12,å¹³æĸ¹,ĠSQUARE,å¹³æĸ¹,Å¡k,rael,Å¡k,wert,icals,lete,technical,ç¾©,member,Ġ,Ġ,Ġ
"Using Answer Using one word only :  The product of 12 and 11 is ____
 Answer: ",132,132,ÅĤa,adder,OLT,ovÄĽ,ract,Ð±Ð¾Ð¼,ibli,icals,lete,technical,ç¾©,member,Ġ,Ġ,Ġ
"Using Answer Using one word only :  The sum of 45 and 36 is ____
 Answer: ",81,81,91,61,ĠFifty,íķ©,íķ©,Æ°á»Ľng,wert,icals,xit,technical,ç¾©,member,Ġ,Ġ,Ġ
"Using Answer Using one word only :  If x = 10, then 5x − 3 = ____
 Answer: ",Ġ,Ġ,15,Ã³t,ĠFifth,Ø§Ø¦,"Ġ'),",LI,ibli,icals,lete,íķ©,ç¾©,member,Ġ,Ġ,Ġ
"Using Answer Using one word only :  The area of a circle is πr², where r is the ____
 Answer: ",Ġradius,Ġradius,Ġcircumference,Ġcircumference,Ġcircumference,idth,icals,ìłģìľ¼ë¡ľ,wert,icals,lete,technical,ç¾©,member,Ġ,Ġ,Ġ
"Using Answer Using one word only :  The perimeter of a square with side 9 is ____
 Answer: ",Ġ,36,36,36,ACA,Ġperimeter,Ġfours,LI,ibli,icals,xit,technical,ç¾©,member,Ġ,Ġ,Ġ
"Using Answer Using one word only :  The capital of Brazil is ____
 Answer: ",ĠBras,ĠBras,ĠBras,Ġcapitals,Ġcapitals,Ġcapitals,Ġcapitals,Ġven,wert,icals,xit,technical,ç¾©,member,Ġ,Ġ,Ġ
"Using Answer Using one word only :  The largest island in the world is ____
 Answer: ",ĠAustralia,ĠAustralia,ĠAntarctica,Ġmainland,Ġislands,Ġpeninsula,Ġtrillion,pecting,wert,icals,idth,technical,ç¾©,member,Ġ,Ġ,Ġ
"Using Answer Using one word only :  The primary language spoken in Mexico is ____
 Answer: ",ĠSpanish,ĠNÃ¡,ĠSpanish,ĠEnglish,English,English,Å¡k,ska,wert,icals,idth,technical,ç¾©,member,Ġ,Ġ,Ġ
"Using Answer Using one word only :  The Amazon River flows into the ____ Ocean
 Answer: ",ĠAtlantic,ĠAtlantic,Ġocean,Ġocean,Ġocean,Ġocean,ÅĽcie,pecting,wert,icals,xit,technical,ĠImpossible,member,Ġ,Ġ,Ġ
"Using Answer Using one word only :  The longest day of the year is called the ____
 Answer: ",ĠSummer,Ġshortest,Ġlongest,Ġlongest,Ġlunar,Ġtwilight,Ġbrightest,ĠRetro,wert,icals,idth,technical,ç¾©,member,Ġ,Ġ,Ġ
"Using Answer Using one word only :  The number of planets in the solar system is ____
 Answer: ",ĠNine,ĠPlan,Ġplanets,Ġplanets,Ġplanets,Ġplanets,Ġplanets,isz,ibli,icals,xit,technical,ç¾©,member,Ġ,Ġ,Ġ
"Using Answer Using one word only :  The Great Wall of China was built during the ____ dynasty
 Answer: ",ĠMing,ĠMing,ĠQin,Ġemperor,Ġdynasty,ocr,during,ovsky,wert,icals,xit,íķ©,Ġparadox,member,Ġ,Ġ,Ġ
"Using Answer Using one word only :  The atomic number of carbon is ____
 Answer: ",6,6,carbon,carbon,Ġatomic,Ġatomic,utherford,isz,wert,icals,xit,technical,ç¾©,member,Ġ,Ġ,Ġ
"Using Answer Using one word only :  The tallest waterfall in the world is ____
 Answer: ",ĠVictoria,falls,falls,falls,Ġwaterfall,Ġwaterfall,Ġtallest,Ġberlin,wert,icals,lete,technical,ç¾©,member,Ġ,Ġ,Ġ
"Using Answer Using one word only :  The national animal of the United States is the ____
 Answer: ",Ġeagle,ĠAmerican,Ġbuffalo,Ġmammals,Ġlions,Äįel,ackle,bÃŃ,wert,icals,idth,technical,ç¾©,member,Ġ,Ġ,Ġ
"Using Answer Using one word only :  The inventor of the light bulb was Thomas ____
 Answer: ",ĠEdison,ĠEdison,ĠLighting,ĠLighting,ĠLighting,ĠLighting,Ġpione,bÃŃ,wert,icals,idth,technical,ç¾©,member,Ġ,Ġ,Ġ
"Using Answer Using one word only :  The year the Wright brothers flew their first airplane was ____
 Answer: ",Ġ,Ġ,190,Ġpilots,Ġaviation,fik,Ġaviation,anggal,wert,icals,xit,Ġpuzzle,ç¾©,member,Ġ,Ġ,Ġ
"Using Answer Using one word only :  The Roman numeral for 100 is ____
 Answer: ",ĠC,Ġhundred,Ġhundred,Ġhundred,Ġhundred,Ġtrillion,Ġmilli,IFF,wert,icals,xit,technical,ç¾©,member,Ġ,Ġ,Ġ
"Using Answer Using one word only :  The largest land animal is the ____
 Answer: ",Ġelephant,Ġelephant,Ġelephant,Ġmammals,Ġanimals,aurus,rikes,ovsky,wert,icals,idth,technical,ç¾©,member,Ġ,Ġ,Ġ
"Using Answer Using one word only :  The smallest bird in the world is the ____
 Answer: ",Ġhumming,Ġwood,Ġhumming,Ġsmallest,Ġsmallest,mini,Ġminiature,fÃ¶r,wert,icals,idth,technical,ç¾©,member,Ġ,Ġ,Ġ
"Using Answer Using one word only :  The deepest part of the ocean is the ____ Trench
 Answer: ",ĠChallenger,Ġdeepest,Ġabyss,Ġdeepest,Ġdepths,Ġdepths,Ġoceans,ĠØ§ÙĦØ¨ÙĬ,wert,icals,xit,íķ©,ĠImpossible,member,Ġ,Ġ,Ġ
"Using Answer Using one word only :  The human body has ____ pairs of chromosomes
 Answer: ",Ġpairs,Ġpairs,Ġfours,Ġfours,PAIR,Ġtrillion,zens,ovsky,wert,icals,xit,íķ©,ĠImpossible,member,Ġ,Ġ,Ġ
"Using Answer Using one word only :  The tallest mountain in Africa is Mount ____
 Answer: ",ĠKil,ĠMount,ĠMount,ĠMount,ĠMt,Ġtallest,Ġtallest,WA,wert,icals,xit,technical,ç¾©,member,Ġ,Ġ,Ġ
"Using Answer Using one word only :  The process by which plants make food is called ____
 Answer: ",Ġphotos,Ġphotos,Ġphotos,Photos,plant,fÃ¶r,fÃ¶r,ovsky,wert,icals,idth,íķ©,ç¾©,member,Ġ,Ġ,Ġ
"Using Answer Using one word only :  The part of the plant that absorbs water is the ____
 Answer: ",Ġstem,Ġshoot,Ġroots,Ġstalk,ĠLeaves,ivot,Å¡k,hall,wert,icals,idth,íķ©,ç¾©,member,Ġ,Ġ,Ġ
"Using Answer Using one word only :  The chemical formula for salt is ____
 Answer: ",ĠNa,ĠNa,ĠSalt,salt,Na,compound,ĠÅ¡koly,isz,wert,icals,lete,íķ©,ç¾©,member,Ġ,Ġ,Ġ
"Using Answer Using one word only :  The capital of South Korea is ____
 Answer: ",ĠSeoul,ĠSeoul,ĠSeoul,ĠSeoul,ĠSeoul,Ġcapitals,Ġcapitals,bÃŃ,wert,icals,xit,technical,ç¾©,member,Ġ,Ġ,Ġ
"Using Answer Using one word only :  The largest country in the world by area is ____
 Answer: ",ĠRussia,ĠRussia,ĠRussia,Ġcontinents,Ġcontinents,omap,Ġtrillion,ovsky,wert,icals,xit,technical,ç¾©,member,Ġ,Ġ,Ġ
"Using Answer Using one word only :  The smallest continent in the world is ____
 Answer: ",ĠAntarctica,ĠAntarctica,ĠAntarctica,ĠAntarctica,Ġcontinents,Å¾ÃŃ,Å¡tÄĽnÃŃ,ÄĽl,wert,icals,lete,technical,ç¾©,member,Ġ,Ġ,Ġ
"Using Answer Using one word only :  The national flower of Japan is the ____
 Answer: ",ĠSakura,Ġcherry,ĠSakura,ĠSakura,Ġflowers,ÙĦØ§ÙĦ,Å¡k,Ġberlin,wert,icals,idth,technical,ç¾©,member,Ġ,Ġ,Ġ
"Using Answer Using one word only :  The Roman numeral for 500 is ____
 Answer: ",ĠMMM,Ġthousand,ĠVII,ĠVII,Ġcentury,Ġtrillion,ovÃŃ,IFF,wert,icals,xit,technical,ç¾©,member,Ġ,Ġ,Ġ
"Using Answer Using one word only :  The speed of light is approximately 3 x ____ m/s
 Answer: ",186,Ġlight,Ġlight,#NAME?,Ġtrillion,Ġspeeds,Ġmilli,IFF,wert,icals,xit,íķ©,ç¾©,member,Ġ,Ġ,Ġ
"Using Answer Using one word only :  The first computer programmer was Ada ____
 Answer: ",ĠAda,Ġcomputing,ĠProgramming,computer,computer,Äħd,Ġpione,osc,wert,icals,lete,technical,ç¾©,member,Ġ,Ġ,Ġ
"Using Answer Using one word only :  The author of ""The Iliad"" was ____
 Answer: ",ĠHomer,ĠHomer,ĠHomer,ĠHomer,ĠHomer,Ġindebted,uteur,ĠØ§ÙĦØ¨ÙĬ,wert,icals,idth,technical,ç¾©,member,Ġ,Ġ,Ġ
"Using Answer Using one word only :  The capital of Turkey is ____
 Answer: ",ĠAnkara,ĠAnkara,ĠAnkara,ĠAnkara,ĠAnkara,Ġcapitals,Ġcapitals,bÃŃ,wert,icals,xit,technical,ç¾©,member,Ġ,Ġ,Ġ
"Using Answer Using one word only :  The Pythagorean theorem applies to a ____ triangle
 Answer: ",Ġright,Ġright,Ġacute,angle,angle,idth,Ġfours,ĠØ§ÙĦØ¨ÙĬ,wert,icals,lete,íķ©,ĠImpossible,member,Ġ,Ġ,Ġ
"Using Answer Using one word only :  The capital of New Zealand is ____
 Answer: ",ĠWellington,ĠWellington,ĠWellington,ĠWellington,ĠAuckland,uckland,Ġcapitals,Ġven,wert,icals,xit,technical,ç¾©,member,Ġ,Ġ,Ġ
"Using Answer Using one word only :  The national bird of India is the ____
 Answer: ",ĠIndian,Indian,Ġeagle,Ġeagle,Ġbirds,hled,Ġflew,IFF,wert,icals,idth,íķ©,ç¾©,member,Ġ,Ġ,Ġ
"Using Answer Using one word only :  The periodic table was created by Dmitri ____
 Answer: ",ĠDmit,Ġphysicist,Ġphysicist,Ġphysicist,Ġphysicist,Ġphysicists,Ġphysicists,isz,wert,icals,lete,technical,ç¾©,member,Ġ,Ġ,Ġ
"Using Answer Using one word only :  The boiling point of mercury is ____ degrees Celsius
 Answer: ",Ġ,Ġ,inking,Ġmelting,temperature,Ġtemperatures,ÄĽlÃŃ,IFF,wert,icals,xit,íķ©,ĠImpossible,member,Ġ,Ġ,Ġ
"Using Answer Using one word only :  The Great Pyramid of Giza is located in ____
 Answer: ",ĠEgypt,ĠEgypt,ĠEgypt,ĠEgypt,Ġsoutheast,Ġplaza,anggal,ÅĻÃŃt,wert,icals,idth,technical,ç¾©,member,Ġ,Ġ,Ġ
"Using Answer Using one word only :  The largest star known to humanity is ____
 Answer: ",ĠSun,ĠSirius,ĠSirius,Ġstars,Ġbrightest,Ġplanet,Ġastronomers,Ð±Ð¾Ð¼,wert,icals,lete,íķ©,ç¾©,member,Ġ,Ġ,Ġ
"Using Answer Using one word only :  The chemical symbol for copper is ____
 Answer: ",ĠCu,ĠCu,Ġcopper,Ġcopper,Ġcopper,Ã³r,CHA,isz,wert,icals,lete,íķ©,ç¾©,member,Ġ,Ġ,Ġ
"Using Answer Using one word only :  The tallest tree species is the ____
 Answer: ",Ġtree,Ġtallest,Ġtrees,Ġtrees,Ġtallest,Ġtallest,ĠtrÆ°á»Łng,IFF,wert,icals,idth,technical,ç¾©,member,Ġ,Ġ,Ġ
"Using Answer Using one word only :  The Roman god of war is ____
 Answer: ",ĠMars,ĠMars,Ġwars,Ġguerra,ĠZeus,ovÃŃ,Ġgiochi,bÃŃ,wert,icals,xit,technical,ç¾©,member,Ġ,Ġ,Ġ
"Using Answer Using one word only :  A group of fish is called a ____
 Answer: ",Ġschool,Ġfish,Ġfishes,Ġfishes,Ġfishes,ĠAquarium,ĠAquarium,hall,wert,icals,idth,technical,ç¾©,member,Ġ,Ġ,Ġ
"Using Answer Using one word only :  The SI unit of energy is the ____
 Answer: ",Ġjou,Ġjou,Ġwatt,ĠkWh,ĠkWh,Units,Ġmilli,ovsky,ibli,icals,xit,technical,ç¾©,member,Ġ,Ġ,Ġ
"Using Answer Using one word only :  The capital of the Netherlands is ____
 Answer: ",ĠAmsterdam,ĠAmsterdam,ĠAmsterdam,ĠAmsterdam,ĠAmsterdam,ĠAmsterdam,Ġcapitals,Ġven,ibli,icals,xit,technical,ç¾©,member,Ġ,Ġ,Ġ
"Using Answer Using one word only :  The largest city in the United States is ____
 Answer: ",ĠNew,ĠWashington,ĠNYC,ĠNYC,ĠWashington,Ġcities,Ġcities,borough,wert,icals,idth,technical,ç¾©,member,Ġ,Ġ,Ġ
"Using Answer Using one word only :  The most spoken language in the world is ____
 Answer: ",ĠEnglish,ĠEnglish,ĠEnglish,ĠEnglish,English,langs,Ġtrillion,ovsky,wert,icals,idth,íķ©,ç¾©,member,Ġ,Ġ,Ġ
"Using Answer Using one word only :  The national dish of Italy is ____
 Answer: ",ĠPizza,ĠPizza,Ġpasta,Ġpasta,Ġpizzas,ĠLomb,Ġitalian,IFF,wert,icals,xit,technical,ç¾©,member,Ġ,Ġ,Ġ
"Using Answer Using one word only :  The national flag of France is colored ____
 Answer: ",Ġtr,Ġvertical,Ġbande,Ġyellow,Ġstriped,Ġcouleur,Ġcolours,IFF,wert,icals,idth,technical,ç¾©,member,Ġ,Ġ,Ġ
"Using Answer Using one word only :  The chemical element with symbol Na is ____
 Answer: ",ĠSodium,ĠSodium,ĠAluminium,ĠSodium,Ġelemental,Å¡k,Ġphysicists,ska,wert,icals,xit,technical,ç¾©,member,Ġ,Ġ,Ġ
"Using Answer Using one word only :  The distance from the Earth to the Sun is ____ million kilometers
 Answer: ",149,Ġmillion,Ġtrillion,Ġtrillion,Ġbillion,Ġplanet,Ġdistances,ovsky,wert,icals,xit,íķ©,ç¾©,member,Ġ,Ġ,Ġ
"Using Answer Using one word only :  The freezing point of alcohol in Celsius is ____
 Answer: ",Ġ,Ġ,Ġfreezing,Ġfreezing,temperature,temperature,okt,ska,wert,icals,xit,technical,ç¾©,member,Ġ,Ġ,Ġ
"Using Answer Using one word only :  The process of turning vapor back into liquid is ____
 Answer: ",Ġcond,Ġcond,Ġcooling,Ġevapor,Ġevapor,thermal,Ġmilli,ovsky,wert,icals,xit,íķ©,ç¾©,member,Ġ,Ġ,Ġ
"Using Answer Using one word only :  The hottest planet in the solar system is ____
 Answer: ",ĠMercury,ĠEarth,ĠEarth,Ġplanets,Ġplanets,Ġplanets,vÃŃ,fÃ¶r,wert,icals,lete,technical,ç¾©,member,Ġ,Ġ,Ġ
"Using Answer Using one word only :  The largest volcano in the solar system is located on ____
 Answer: ",ĠMercury,ĠEarth,Ġvolcan,Ġplanets,Ġplanet,Ġplanetary,ĠGeological,fÃ¶r,wert,icals,idth,technical,ç¾©,member,Ġ,Ġ,Ġ
"Using Answer Using one word only :  The unit of electric current is the ____
 Answer: ",Ġamp,Ġcou,Ġmilli,current,Ġmilli,units,Ġmilli,isz,wert,icals,Tweet,technical,ç¾©,member,Ġ,Ġ,Ġ
"Using Answer Using one word only :  The atomic number of helium is ____
 Answer: ",2,ĠHe,hel,Ġatomic,Ġatomic,Ġatomic,Ġphysicists,isz,wert,icals,lete,technical,ç¾©,member,Ġ,Ġ,Ġ
"Using Answer Using one word only :  The smallest unit of digital storage is a ____
 Answer: ",Ġbit,Ġbit,Ġbit,ĠBits,ĠBits,units,ĠBurst,ovsky,wert,icals,idth,technical,ç¾©,member,Ġ,Ġ,Ġ
"Using Answer Using one word only :  A byte is equal to ____ bits
 Answer: ",Ġ,Ġ,Ġbyte,Ġbyte,Ġbyte,vox,Ġmilli,IFF,wert,icals,lete,technical,ç¾©,member,Ġ,Ġ,Ġ
"Using Answer Using one word only :  The first programming language was called ____
 Answer: ",ĠAL,Ġpunch,ĠBASIC,ĠLisp,programming,Ġpioneers,fÃ¶r,bÃŃ,wert,icals,lete,íķ©,ç¾©,member,Ġ,Ġ,Ġ
