Res,layer_17,layer_16,layer_15,layer_14,layer_13,layer_12,layer_11,layer_10,layer_9,layer_8,layer_7,layer_6,layer_5,layer_4,layer_3,layer_2,layer_1
"Using Answer Using one word only :  Lightning is caused by electrical ____
 Answer: ",ĠDis,ĠDis,ĠLightning,ĠLightning,ĠLightning,ĠLightning,ĠLightning,ĠLightning,1,1,1,ĠAnswer,ĠAnswer,ĠThe,1,1,Ġ
"Using Answer Using one word only :  Humans breathe in oxygen and exhale ____
 Answer: ",ĠCarbon,Ġcarbon,ĠOxygen,ĠOxygen,ĠOxygen,ĠOxygen,2,1,1,1,1,ĠAnswer,1,ĠThe,1,1,Ġ
"Using Answer Using one word only :  The primary gas in Earth's atmosphere is ____
 Answer: ",ĠNit,ĠNit,ĠNit,ĠNit,ĠCO,Ġair,1,2,1,1,ĠThe,ĠThe,ĠThe,ĠThe,1,1,Ġ
"Using Answer Using one word only :  The Milky Way is a ____
 Answer: ",ĠGalaxy,ĠGalaxy,ĠMilky,ĠMilky,ĠPlan,ĠPlan,1,1,1,1,ĠThe,ĠThe,ĠThe,ĠThe,1,1,Ġ
"Using Answer Using one word only :  The closest star to Earth is the ____
 Answer: ",ĠPro,ĠPro,ĠPro,1,1,ĠVenus,1,1,1,1,ĠThe,ĠThe,ĠThe,ĠThe,1,1,Ġ
"Using Answer Using one word only :  The hardest natural substance on Earth is ____
 Answer: ",1,Ġdiamond,1,ĠMarble,1,ĠEarth,1,1,1,1,ĠThe,ĠThe,ĠThe,ĠThe,1,1,Ġ
"Using Answer Using one word only :  The largest desert on Earth is the ____
 Answer: ",ĠSahara,ĠSahara,Ġdes,ĠSahara,ĠSahara,ĠSahara,ĠSahara,1,1,1,ĠThe,ĠThe,ĠThe,ĠThe,1,1,Ġ
"Using Answer Using one word only :  The capital of Russia is ____
 Answer: ",ĠMoscow,ĠMoscow,ĠMoscow,ĠMoscow,ĠMoscow,ĠMoscow,ĠMoscow,2,1,1,ĠThe,ĠThe,ĠThe,ĠThe,1,1,Ġ
"Using Answer Using one word only :  The Mona Lisa was painted by ____
 Answer: ",ĠLeonardo,ĠLeonardo,ĠLeonardo,ĠLeonardo,ĠLeonardo,ĠMichel,2,1,1,1,ĠThe,ĠThe,ĠThe,ĠThe,1,1,Ġ
"Using Answer Using one word only :  The Titanic sank in ____
 Answer: ",4,4,4,ĠThe,2,2,1,1,1,1,ĠThe,ĠThe,ĠThe,ĠThe,1,1,Ġ
"Using Answer Using one word only :  The first man in space was Yuri ____
 Answer: ",1,ĠYuri,ĠYuri,ĠYuri,ĠYuri,ĠYuri,ĠYuri,2,1,1,1,ĠThe,ĠThe,ĠThe,1,1,Ġ
"Using Answer Using one word only :  The year the Berlin Wall fell was ____
 Answer: ",198,198,198,198,198,198,198,1,1,1,ĠThe,ĠThe,ĠThe,ĠThe,1,1,Ġ
"Using Answer Using one word only :  The capital of Australia is ____
 Answer: ",ĠCanberra,ĠSydney,ĠSydney,ĠCanberra,ĠNew,ĠAustralia,ĠAustralia,1,1,1,ĠThe,ĠThe,ĠThe,ĠThe,1,1,Ġ
"Using Answer Using one word only :  The speed of sound in air is approximately ____ m/s
 Answer: ",340,340,340,1,1,2,2,1,1,1,1,ĠThe,ĠThe,ĠThe,1,1,Ġ
"Using Answer Using one word only :  A triangle has ____ sides
 Answer: ",4,3,3,3,3,3,3,2,1,1,1,ĠAnswer,ĠAnswer,ĠThe,1,1,Ġ
"Using Answer Using one word only :  The boiling point of water in Kelvin is ____
 Answer: ",273,273,273,0,273,0,1,1,1,1,1,ĠThe,ĠThe,ĠThe,1,1,Ġ
"Using Answer Using one word only :  The freezing point of water in Fahrenheit is ____
 Answer: ",32,32,32,32,32,32,0,1,1,1,ĠThe,ĠThe,ĠThe,ĠThe,1,1,Ġ
"Using Answer Using one word only :  A rectangle has ____ right angles
 Answer: ",4,4,4,4,2,2,2,2,1,1,1,ĠAnswer,ĠAnswer,ĠThe,1,1,Ġ
"Using Answer Using one word only :  The chemical formula for water is ____
 Answer: ",ĠH,ĠH,ĠH,ĠH,2,2,1,2,1,1,ĠThe,ĠThe,ĠThe,ĠThe,1,1,Ġ
"Using Answer Using one word only :  The element with atomic number 1 is ____
 Answer: ",1,1,1,1,Ġhydrogen,1,1,1,1,1,1,ĠThe,ĠThe,ĠThe,1,1,Ġ
"Using Answer Using one word only :  The square of 15 is ____
 Answer: ",225,225,225,25,25,16,16,1,1,1,1,ĠThe,ĠThe,ĠThe,1,1,Ġ
"Using Answer Using one word only :  The cube of 3 is ____
 Answer: ",27,9,9,9,6,3,3,2,1,1,1,ĠThe,ĠThe,ĠThe,1,1,Ġ
"Using Answer Using one word only :  The square root of 144 is ____
 Answer: ",8,8,8,16,16,2,4,2,1,1,1,ĠThe,ĠThe,ĠThe,1,1,Ġ
"Using Answer Using one word only :  The product of 12 and 11 is ____
 Answer: ",121,121,13,13,13,7,6,2,1,1,1,ĠThe,ĠThe,ĠThe,1,1,Ġ
"Using Answer Using one word only :  The sum of 45 and 36 is ____
 Answer: ",90,90,60,60,45,16,6,2,1,1,1,ĠThe,ĠThe,ĠThe,1,1,Ġ
"Using Answer Using one word only :  If x = 10, then 5x − 3 = ____
 Answer: ",5,2,5,5,5,2,6,6,5,5,5,1,2,ĠThe,1,1,Ġ
"Using Answer Using one word only :  The area of a circle is πr², where r is the ____
 Answer: ",Ġcircumference,Ġdiameter,2,2,Ġradius,2,1,1,1,1,1,ĠThe,ĠThe,ĠThe,1,1,Ġ
"Using Answer Using one word only :  The perimeter of a square with side 9 is ____
 Answer: ",36,36,36,36,36,8,8,2,1,1,1,ĠThe,ĠThe,ĠThe,1,1,Ġ
"Using Answer Using one word only :  The capital of Brazil is ____
 Answer: ",ĠBras,ĠBras,ĠBras,ĠBras,ĠSÃ£o,ĠSÃ£o,ĠSÃ£o,1,1,1,ĠThe,ĠThe,ĠThe,ĠThe,1,1,Ġ
"Using Answer Using one word only :  The largest island in the world is ____
 Answer: ",ĠAustralia,ĠAustralia,ĠAustralia,ĠAntarctica,ĠAntarctica,ĠAntarctica,1,1,1,1,ĠThe,ĠThe,ĠThe,ĠThe,1,1,Ġ
"Using Answer Using one word only :  The primary language spoken in Mexico is ____
 Answer: ",ĠSpanish,ĠSpanish,ĠSpanish,ĠSpanish,ĠSpanish,ĠSpanish,ĠEnglish,1,1,1,ĠThe,ĠThe,ĠThe,ĠThe,1,1,Ġ
"Using Answer Using one word only :  The Amazon River flows into the ____ Ocean
 Answer: ",ĠThe,ĠThe,ĠAmazon,ĠThe,ĠAmazon,ĠThe,ĠThe,1,1,1,ĠThe,ĠThe,ĠThe,ĠThe,1,1,Ġ
"Using Answer Using one word only :  The longest day of the year is called the ____
 Answer: ",1,ĠSol,ĠSol,1,1,1,1,1,1,1,ĠThe,ĠThe,ĠThe,ĠThe,1,1,Ġ
"Using Answer Using one word only :  The number of planets in the solar system is ____
 Answer: ",8,9,1,6,2,2,1,2,1,1,1,ĠThe,ĠThe,ĠThe,1,1,Ġ
"Using Answer Using one word only :  The Great Wall of China was built during the ____ dynasty
 Answer: ",1,1,ĠTang,ĠMing,1,2,2,1,1,1,ĠThe,ĠThe,ĠThe,ĠThe,1,1,Ġ
"Using Answer Using one word only :  The atomic number of carbon is ____
 Answer: ",6,6,6,6,6,2,2,2,1,1,1,ĠThe,ĠThe,ĠThe,1,1,Ġ
"Using Answer Using one word only :  The tallest waterfall in the world is ____
 Answer: ",1,ĠNiagara,ĠNiagara,ĠNiagara,ĠFalls,ĠThe,1,1,1,1,1,ĠThe,ĠThe,ĠThe,1,1,Ġ
"Using Answer Using one word only :  The national animal of the United States is the ____
 Answer: ",ĠThe,ĠThe,ĠBison,ĠBison,1,ĠAmerican,1,1,1,1,ĠThe,ĠThe,ĠThe,ĠThe,1,1,Ġ
"Using Answer Using one word only :  The inventor of the light bulb was Thomas ____
 Answer: ",ĠEdison,ĠEdison,ĠEdison,ĠEdison,ĠEdison,ĠEdison,ĠThomas,1,1,1,ĠThe,ĠThe,ĠThe,ĠThe,1,1,Ġ
"Using Answer Using one word only :  The year the Wright brothers flew their first airplane was ____
 Answer: ",190,190,190,190,191,191,191,1,1,1,ĠThe,ĠThe,ĠThe,ĠThe,1,1,Ġ
"Using Answer Using one word only :  The Roman numeral for 100 is ____
 Answer: ",100,ĠV,4,ĠI,ĠRoman,2,1,2,1,1,1,ĠThe,ĠThe,ĠThe,1,1,Ġ
"Using Answer Using one word only :  The largest land animal is the ____
 Answer: ",ĠElephant,ĠElephant,ĠElephant,Ġelephant,Ġelephant,Ġelephant,1,1,1,1,ĠThe,ĠThe,ĠThe,ĠThe,1,1,Ġ
"Using Answer Using one word only :  The smallest bird in the world is the ____
 Answer: ",ĠThe,1,ĠPar,ĠPar,ĠA,1,1,1,1,1,ĠThe,ĠThe,ĠThe,ĠThe,1,1,Ġ
"Using Answer Using one word only :  The deepest part of the ocean is the ____ Trench
 Answer: ",ĠThe,1,1,2,1,ĠThe,ĠThe,1,1,1,ĠThe,ĠThe,ĠThe,ĠThe,1,1,Ġ
"Using Answer Using one word only :  The human body has ____ pairs of chromosomes
 Answer: ",2,2,2,2,2,2,2,2,1,1,1,ĠThe,ĠThe,ĠThe,1,1,Ġ
"Using Answer Using one word only :  The tallest mountain in Africa is Mount ____
 Answer: ",1,ĠKil,ĠKil,ĠMount,ĠMount,ĠMount,1,1,1,1,ĠThe,ĠThe,ĠThe,ĠThe,1,1,Ġ
"Using Answer Using one word only :  The process by which plants make food is called ____
 Answer: ",ĠPhotos,ĠPhotos,ĠPhotos,ĠPhotos,2,2,1,1,1,1,ĠThe,ĠThe,ĠThe,ĠThe,1,1,Ġ
"Using Answer Using one word only :  The part of the plant that absorbs water is the ____
 Answer: ",Ġstem,ĠLeaf,ĠLeaves,1,1,ĠThe,1,1,1,1,ĠThe,ĠThe,ĠThe,ĠThe,1,1,Ġ
"Using Answer Using one word only :  The chemical formula for salt is ____
 Answer: ",ĠNa,ĠNa,ĠNa,ĠNa,ĠNa,Ġsodium,1,1,1,1,1,ĠThe,ĠThe,ĠThe,1,1,Ġ
"Using Answer Using one word only :  The capital of South Korea is ____
 Answer: ",ĠSeoul,ĠSeoul,ĠSeoul,ĠSeoul,ĠSeoul,ĠSeoul,ĠSeoul,2,1,1,ĠThe,ĠThe,ĠThe,ĠThe,1,1,Ġ
"Using Answer Using one word only :  The largest country in the world by area is ____
 Answer: ",ĠAustralia,ĠRussia,1,ĠRussia,ĠChina,ĠChina,1,2,1,1,1,ĠThe,ĠThe,ĠThe,1,1,Ġ
"Using Answer Using one word only :  The smallest continent in the world is ____
 Answer: ",ĠAntarctica,ĠAntarctica,ĠAntarctica,ĠAntarctica,ĠAntarctica,ĠAntarctica,ĠAntarctica,1,1,1,1,ĠThe,ĠThe,ĠThe,1,1,Ġ
"Using Answer Using one word only :  The national flower of Japan is the ____
 Answer: ",1,ĠThe,ĠHib,1,ĠJapanese,ĠJapanese,1,1,1,1,ĠThe,ĠThe,ĠThe,ĠThe,1,1,Ġ
"Using Answer Using one word only :  The Roman numeral for 500 is ____
 Answer: ",500,ĠV,ĠI,ĠI,5,2,1,2,1,1,1,ĠThe,ĠThe,ĠThe,1,1,Ġ
"Using Answer Using one word only :  The speed of light is approximately 3 x ____ m/s
 Answer: ",299,3,3,3,3,3,3,2,1,1,1,ĠThe,ĠThe,ĠThe,1,1,Ġ
"Using Answer Using one word only :  The first computer programmer was Ada ____
 Answer: ",1,ĠLov,ĠAda,ĠAda,ĠAda,ĠAda,1,1,1,1,1,ĠThe,ĠThe,ĠThe,1,1,Ġ
"Using Answer Using one word only :  The author of ""The Iliad"" was ____
 Answer: ",ĠHomer,ĠHomer,ĠHomer,ĠHomer,ĠHomer,ĠHomer,1,1,1,1,ĠThe,ĠThe,ĠThe,ĠThe,1,1,Ġ
"Using Answer Using one word only :  The capital of Turkey is ____
 Answer: ",ĠAnkara,ĠIstanbul,ĠIstanbul,ĠIstanbul,ĠIstanbul,ĠIstanbul,ĠIstanbul,1,1,1,1,ĠThe,ĠThe,ĠThe,1,1,Ġ
"Using Answer Using one word only :  The Pythagorean theorem applies to a ____ triangle
 Answer: ",2,2,2,Ġright,2,2,1,1,1,1,1,ĠThe,ĠThe,ĠThe,1,1,Ġ
"Using Answer Using one word only :  The capital of New Zealand is ____
 Answer: ",ĠWellington,ĠWellington,ĠWellington,ĠWellington,ĠNew,ĠNew,ĠAuckland,1,1,1,ĠThe,ĠThe,ĠThe,ĠThe,1,1,Ġ
"Using Answer Using one word only :  The national bird of India is the ____
 Answer: ",ĠThe,ĠBhar,ĠBhar,ĠBhar,ĠBhar,ĠThe,1,1,1,1,ĠThe,ĠThe,ĠThe,ĠThe,1,1,Ġ
"Using Answer Using one word only :  The periodic table was created by Dmitri ____
 Answer: ",ĠMend,ĠMend,ĠDmit,ĠMend,ĠDmit,ĠDmit,1,1,1,1,ĠThe,ĠThe,ĠThe,ĠThe,1,1,Ġ
"Using Answer Using one word only :  The boiling point of mercury is ____ degrees Celsius
 Answer: ",273,0,0,0,0,2,0,2,1,1,1,ĠThe,ĠThe,ĠThe,1,1,Ġ
"Using Answer Using one word only :  The Great Pyramid of Giza is located in ____
 Answer: ",ĠEgypt,ĠEgypt,ĠEgypt,ĠEgypt,ĠEgypt,ĠEgypt,1,1,1,1,1,ĠThe,ĠThe,ĠThe,1,1,Ġ
"Using Answer Using one word only :  The largest star known to humanity is ____
 Answer: ",1,1,1,1,1,ĠVenus,1,1,1,1,ĠThe,ĠThe,ĠThe,ĠThe,1,1,Ġ
"Using Answer Using one word only :  The chemical symbol for copper is ____
 Answer: ",ĠCu,ĠCu,ĠCu,ĠCu,ĠCu,ĠCu,Ġcopper,2,2,2,2,ĠThe,ĠThe,ĠThe,1,1,Ġ
"Using Answer Using one word only :  The tallest tree species is the ____
 Answer: ",1,ĠE,1,1,1,1,1,1,1,1,ĠThe,ĠThe,ĠThe,ĠThe,1,1,Ġ
"Using Answer Using one word only :  The Roman god of war is ____
 Answer: ",ĠMars,ĠMars,ĠMars,ĠA,ĠA,ĠThe,ĠRoman,1,1,1,ĠThe,ĠThe,ĠThe,ĠThe,1,1,Ġ
"Using Answer Using one word only :  A group of fish is called a ____
 Answer: ",ĠFish,Ġa,ĠA,1,2,Ġa,1,1,1,1,1,ĠA,ĠAnswer,ĠThe,1,1,Ġ
"Using Answer Using one word only :  The SI unit of energy is the ____
 Answer: ",ĠJou,ĠJou,ĠJou,ĠJou,ĠJou,ĠJou,1,1,1,1,ĠThe,ĠThe,ĠThe,ĠThe,1,1,Ġ
"Using Answer Using one word only :  The capital of the Netherlands is ____
 Answer: ",ĠAmsterdam,ĠAmsterdam,ĠAmsterdam,ĠAmsterdam,ĠAmsterdam,ĠAmsterdam,ĠAmsterdam,1,1,1,ĠThe,ĠThe,ĠThe,ĠThe,1,1,Ġ
"Using Answer Using one word only :  The largest city in the United States is ____
 Answer: ",ĠNew,ĠNew,ĠNew,ĠNew,ĠNew,ĠNew,ĠChicago,1,1,1,ĠThe,ĠThe,ĠThe,ĠThe,1,1,Ġ
"Using Answer Using one word only :  The most spoken language in the world is ____
 Answer: ",ĠEnglish,ĠEnglish,ĠEnglish,ĠEnglish,ĠEnglish,ĠEnglish,ĠEnglish,1,1,1,ĠThe,ĠThe,ĠThe,ĠThe,1,1,Ġ
"Using Answer Using one word only :  The national dish of Italy is ____
 Answer: ",ĠPasta,ĠPasta,ĠPasta,Ġpasta,Ġpasta,Ġpasta,ĠItalian,1,1,1,ĠThe,ĠThe,ĠThe,ĠThe,1,1,Ġ
"Using Answer Using one word only :  The national flag of France is colored ____
 Answer: ",Ġblue,ĠRed,2,1,ĠThe,Ġblue,1,1,1,1,ĠThe,ĠThe,ĠThe,ĠThe,1,1,Ġ
"Using Answer Using one word only :  The chemical element with symbol Na is ____
 Answer: ",1,1,1,ĠNa,ĠNa,2,1,1,1,1,1,ĠAnswer,ĠThe,ĠThe,1,1,Ġ
"Using Answer Using one word only :  The distance from the Earth to the Sun is ____ million kilometers
 Answer: ",1,1,1,1,1,1,1,1,1,1,1,ĠThe,ĠThe,ĠThe,1,1,Ġ
"Using Answer Using one word only :  The freezing point of alcohol in Celsius is ____
 Answer: ",273,0,273,32,0,0,0,1,1,1,1,ĠThe,ĠThe,ĠThe,1,1,Ġ
"Using Answer Using one word only :  The process of turning vapor back into liquid is ____
 Answer: ",ĠVapor,Ġcond,ĠVapor,Ġvapor,Ġvapor,Ġvapor,1,1,1,1,ĠThe,ĠThe,ĠThe,ĠThe,1,1,Ġ
"Using Answer Using one word only :  The hottest planet in the solar system is ____
 Answer: ",ĠUran,ĠJupiter,ĠUran,ĠVenus,ĠVenus,ĠVenus,ĠVenus,1,1,1,ĠThe,ĠThe,ĠThe,ĠThe,1,1,Ġ
"Using Answer Using one word only :  The largest volcano in the solar system is located on ____
 Answer: ",ĠMars,ĠMars,ĠMars,ĠMars,ĠMars,ĠMars,1,1,1,1,ĠThe,ĠThe,ĠThe,ĠThe,1,1,Ġ
"Using Answer Using one word only :  The unit of electric current is the ____
 Answer: ",ĠAmp,ĠAmp,ĠAmp,ĠAmp,1,1,1,1,1,1,ĠThe,ĠThe,ĠThe,ĠThe,1,1,Ġ
"Using Answer Using one word only :  The atomic number of helium is ____
 Answer: ",2,2,2,4,1,2,1,2,1,1,1,ĠThe,ĠThe,ĠThe,1,1,Ġ
"Using Answer Using one word only :  The smallest unit of digital storage is a ____
 Answer: ",512,1,1,1,1,1,1,1,1,1,ĠThe,ĠThe,ĠThe,ĠThe,1,1,Ġ
"Using Answer Using one word only :  A byte is equal to ____ bits
 Answer: ",8,8,8,8,8,8,8,1,1,1,1,ĠAnswer,ĠThe,ĠThe,1,1,Ġ
"Using Answer Using one word only :  The first programming language was called ____
 Answer: ",ĠBASIC,ĠBASIC,ĠBASIC,ĠBASIC,ĠBASIC,ĠC,1,1,1,1,ĠThe,ĠThe,ĠThe,ĠThe,1,1,Ġ
"Using Answer Using one word only :  The smallest state in the United States is ____
 Answer: ",1,ĠAlaska,ĠAlaska,ĠAlaska,ĠAlaska,ĠAlaska,1,1,1,1,ĠThe,ĠThe,ĠThe,ĠThe,1,1,Ġ
"Using Answer Using one word only :  The largest lake in the world by area is ____
 Answer: ",1,ĠLake,ĠLake,ĠLake,ĠLake,ĠLake,1,2,1,1,ĠThe,ĠThe,ĠThe,ĠThe,1,1,Ġ
"Using Answer Using one word only :  The capital of Norway is ____
 Answer: ",ĠOslo,ĠOslo,ĠOslo,ĠOslo,ĠOslo,ĠOslo,ĠOslo,1,1,1,ĠThe,ĠThe,ĠThe,ĠThe,1,1,Ġ
"Using Answer Using one word only :  The atomic number of oxygen is ____
 Answer: ",8,16,16,6,6,6,6,2,1,1,ĠThe,ĠThe,ĠThe,ĠThe,1,1,Ġ
"Using Answer Using one word only :  The area of a triangle is calculated as ____
 Answer: ",1,2,2,2,2,2,2,1,1,1,1,ĠThe,ĠThe,ĠThe,1,1,Ġ
"Using Answer Using one word only :  The Pythagorean theorem is written as ____
 Answer: ",1,2,2,2,2,2,2,1,1,1,1,ĠThe,ĠThe,ĠThe,1,1,Ġ
"Using Answer Using one word only :  The angle sum of a triangle is ____ degrees
 Answer: ",90,90,90,90,90,90,6,2,1,1,1,ĠThe,ĠThe,ĠThe,1,1,Ġ
"Using Answer Using one word only :  The circumference of a circle is given by the formula ____
 Answer: ",2,2,2,2,2,2,2,2,1,1,1,ĠThe,ĠThe,ĠThe,1,1,Ġ
"Using Answer Using one word only :  The square root of 81 is ____
 Answer: ",9,9,9,9,8,2,1,1,1,1,1,ĠThe,ĠThe,ĠThe,1,1,Ġ
"Using Answer Using one word only :  A parallelogram has opposite angles that are always ____
 Answer: ",90,90,90,90,90,90,2,1,1,1,1,ĠA,ĠAnswer,ĠThe,1,1,Ġ
"Using Answer Using one word only :  The number of sides in a pentagon is ____
 Answer: ",5,5,5,5,5,6,4,2,1,1,1,ĠThe,ĠThe,ĠThe,1,1,Ġ
"Using Answer Using one word only :  The value of π (pi) approximately equals ____
 Answer: ",3,3,3,3,2,2,1,1,1,1,1,ĠThe,ĠThe,ĠThe,1,1,Ġ
"Using Answer Using one word only :  The smallest prime number is ____
 Answer: ",2,2,2,2,2,2,1,1,1,1,1,ĠThe,ĠThe,ĠThe,1,1,Ġ
"Using Answer Using one word only :  The Fibonacci sequence starts with ____ and ____
 Answer: ",1,0,1,1,1,1,1,1,1,1,1,ĠThe,ĠThe,ĠThe,1,1,Ġ
"Using Answer Using one word only :  The total number of degrees in a quadrilateral is ____
 Answer: ",12,4,4,4,4,4,2,2,1,1,1,ĠThe,ĠThe,ĠThe,1,1,Ġ
"Using Answer Using one word only :  A right-angled triangle has one angle equal to ____ degrees
 Answer: ",90,60,30,90,90,90,2,2,1,1,1,ĠAnswer,ĠAnswer,ĠThe,1,1,Ġ
"Using Answer Using one word only :  The formula for the area of a circle is ____
 Answer: ",ĠÏĢ,2,ĠÏĢ,ĠÏĢ,2,2,2,2,1,1,ĠThe,ĠThe,ĠThe,ĠThe,1,1,Ġ
"Using Answer Using one word only :  The largest prime number less than 20 is ____
 Answer: ",13,17,5,2,2,2,2,2,1,1,1,ĠThe,ĠThe,ĠThe,1,1,Ġ
"Using Answer Using one word only :  The least common multiple of 4 and 6 is ____
 Answer: ",12,12,12,2,2,6,2,2,2,1,1,ĠThe,ĠThe,ĠThe,1,1,Ġ
"Using Answer Using one word only :  The factorial of 5 is ____
 Answer: ",120,120,5,25,5,1,5,1,1,1,1,ĠThe,ĠThe,ĠThe,1,1,Ġ
"Using Answer Using one word only :  The golden ratio is approximately equal to ____
 Answer: ",1,1,1,1,1,1,1,1,1,1,1,ĠThe,ĠThe,ĠThe,1,1,Ġ
"Using Answer Using one word only :  The year the Berlin Wall fell was ____
 Answer: ",198,198,198,198,198,198,198,1,1,1,ĠThe,ĠThe,ĠThe,ĠThe,1,1,Ġ
"Using Answer Using one word only :  The Battle of Waterloo took place in ____
 Answer: ",181,181,181,181,ĠWaterloo,ĠWaterloo,2,1,1,1,ĠThe,ĠThe,ĠThe,ĠThe,1,1,Ġ
"Using Answer Using one word only :  The first emperor of Rome was ____
 Answer: ",ĠAugust,ĠAugust,ĠAugust,ĠAugust,1,ĠRoman,ĠRoman,1,1,1,ĠThe,ĠThe,ĠThe,ĠThe,1,1,Ġ
"Using Answer Using one word only :  The Great Fire of London occurred in ____
 Answer: ",166,166,166,166,166,2,ĠLondon,1,1,1,ĠThe,ĠThe,ĠThe,ĠThe,1,1,Ġ
"Using Answer Using one word only :  The first manned moon landing was in the year ____
 Answer: ",196,196,196,196,196,196,196,1,1,1,ĠThe,ĠThe,ĠThe,ĠThe,1,1,Ġ
"Using Answer Using one word only :  The Magna Carta was signed in the year ____
 Answer: ",121,121,121,121,13,2,2,1,1,1,ĠThe,ĠThe,ĠThe,ĠThe,1,1,Ġ
"Using Answer Using one word only :  The inventor of the telephone was ____
 Answer: ",ĠAlexander,ĠAlexander,ĠAlexander,ĠAlexander,ĠAlexander,ĠJohn,ĠJohn,1,1,1,ĠThe,ĠThe,ĠThe,ĠThe,1,1,Ġ
"Using Answer Using one word only :  The tallest mountain in the world is ____
 Answer: ",ĠMount,ĠMount,ĠMount,ĠMount,ĠMount,ĠMount,1,1,1,1,1,ĠThe,ĠThe,ĠThe,1,1,Ġ
"Using Answer Using one word only :  The Sahara Desert is located on the continent of ____
 Answer: ",ĠAfrica,ĠAfrica,ĠAfrica,ĠAfrica,ĠAfrica,ĠAfrica,1,1,1,1,ĠThe,ĠThe,ĠThe,ĠThe,1,1,Ġ
"Using Answer Using one word only :  The capital of Japan is ____
 Answer: ",ĠTokyo,ĠTokyo,ĠTokyo,ĠTokyo,ĠTokyo,ĠTokyo,ĠJapan,1,1,1,1,ĠThe,ĠThe,ĠThe,1,1,Ġ
"Using Answer Using one word only :  The Amazon River is located in ____
 Answer: ",ĠSouth,ĠSouth,ĠAmazon,ĠAmazon,ĠAmazon,ĠAmazon,1,1,1,1,ĠThe,ĠThe,ĠThe,ĠThe,1,1,Ġ
"Using Answer Using one word only :  The longest river in the world is ____
 Answer: ",1,ĠYang,1,ĠYang,ĠYang,ĠThe,1,1,1,1,ĠThe,ĠThe,ĠThe,ĠThe,1,1,Ġ
"Using Answer Using one word only :  The currency used in Brazil is ____
 Answer: ",ĠReal,ĠReal,ĠReal,ĠBrazilian,ĠBrazilian,ĠBrazilian,ĠBrazilian,1,1,1,1,ĠThe,ĠThe,ĠThe,1,1,Ġ
"Using Answer Using one word only :  The Great Wall of China was built to protect against invasions from the ____
 Answer: ",ĠNorth,ĠNorth,ĠNorth,ĠNorth,ĠNorth,ĠChina,ĠChina,1,1,1,ĠThe,ĠThe,ĠThe,ĠThe,1,1,Ġ
"Using Answer Using one word only :  The process by which plants make food is called ____
 Answer: ",ĠPhotos,ĠPhotos,ĠPhotos,ĠPhotos,2,2,1,1,1,1,ĠThe,ĠThe,ĠThe,ĠThe,1,1,Ġ
"Using Answer Using one word only :  The freezing point of water in Celsius is ____
 Answer: ",273,273,273,32,273,273,0,2,1,1,1,ĠThe,ĠThe,ĠThe,1,1,Ġ
"Using Answer Using one word only :  The boiling point of water in Fahrenheit is ____
 Answer: ",212,212,32,32,32,32,0,1,1,1,1,ĠThe,ĠThe,ĠThe,1,1,Ġ
"Using Answer Using one word only :  The chemical symbol for gold is ____
 Answer: ",ĠAu,ĠAu,ĠAu,ĠAu,ĠGold,2,1,1,1,1,1,ĠThe,ĠThe,ĠThe,1,1,Ġ
"Using Answer Using one word only :  The chemical formula for water is ____
 Answer: ",ĠH,ĠH,ĠH,ĠH,2,2,1,2,1,1,ĠThe,ĠThe,ĠThe,ĠThe,1,1,Ġ
"Using Answer Using one word only :  The first element in the periodic table is ____
 Answer: ",1,1,1,Ġelement,Ġelement,ium,1,1,1,1,ĠThe,ĠThe,ĠThe,ĠThe,1,1,Ġ
"Using Answer Using one word only :  The atomic mass of carbon is approximately ____
 Answer: ",12,12,12,12,6,6,6,2,1,1,1,ĠThe,ĠThe,ĠThe,1,1,Ġ
"Using Answer Using one word only :  The speed of light in a vacuum is ____ meters per second
 Answer: ",299,299,299,299,1,1,1,1,1,1,1,ĠThe,ĠThe,ĠThe,1,1,Ġ
"Using Answer Using one word only :  The acceleration due to gravity on Earth is ____ m/s²
 Answer: ",9,9,9,9,1,0,0,1,1,1,1,ĠThe,ĠThe,ĠThe,1,1,Ġ
"Using Answer Using one word only :  The smallest bone in the human body is the ____
 Answer: ",1,1,1,ĠThe,Ġbone,Ġbone,1,1,1,1,ĠThe,ĠThe,ĠThe,ĠThe,1,1,Ġ
"Using Answer Using one word only :  The largest organ in the human body is the ____
 Answer: ",ĠHeart,ĠThe,0,ĠThe,Ġliver,Ġlungs,1,1,1,1,ĠThe,ĠThe,ĠThe,ĠThe,1,1,Ġ
"Using Answer Using one word only :  The human body has ____ chromosomes
 Answer: ",2,2,2,2,2,2,1,1,1,1,ĠThe,ĠThe,ĠThe,ĠThe,1,1,Ġ
"Using Answer Using one word only :  The organ responsible for pumping blood is the ____
 Answer: ",ĠHeart,ĠHeart,Ġheart,Ġheart,ĠThe,Ġblood,1,1,1,1,ĠThe,ĠThe,ĠThe,ĠThe,1,1,Ġ
"Using Answer Using one word only :  The process of cell division is known as ____
 Answer: ",ĠMit,ĠMit,1,1,1,2,1,1,1,1,ĠThe,ĠThe,ĠThe,ĠThe,1,1,Ġ
"Using Answer Using one word only :  The powerhouse of the cell is called the ____
 Answer: ",ĠN,ĠN,ĠN,Ġnucleus,Ġmitochond,Ġmitochond,1,1,1,1,ĠThe,ĠThe,ĠThe,ĠThe,1,1,Ġ
