Question,layer_33,layer_32,layer_31,layer_30,layer_29,layer_28,layer_27,layer_26,layer_25,layer_24,layer_23,layer_22,layer_21,layer_20,layer_19,layer_18,layer_17,layer_16,layer_15,layer_14,layer_13,layer_12,layer_11,layer_10,layer_9,layer_8,layer_7,layer_6,layer_5,layer_4,layer_3,layer_2,layer_1
" A cat says ____. (meow)
 Answer: ",Ġme,Ġme,Ġme,Ġme,Ġme,Ġcat,Ġcat,Ġcat,Ġcat,Ġanswer,ī,ī,ulent,egie,ulent,ìłĿ,ìłĿ,Drv,ãĤ·ãĥ¼,uent,arium,UnitTest,/request,ORMAT,ibri,ibri,ICAST,adera,'gc,ĠkonkrÃ©t,'gc,'gc,íĨ¤
" The moon looks ____ tonight. (bright)
 Answer: ",Ġbright,ĠThe,ĠUsing,ĠUsing,ĠUsing,ĠUsing,Ġbright,ĠUsing,ĠUsing,ī,ī,ī,ī,ī,Ġanswer,ìłĿ,ìłĿ,ÑĤÐ¾Ñİ,Ð°Ð´Ð¸,uent,ssp,UnitTest,ãĥĭãĤ¢,STYPE,ibri,ibri,ICAST,adera,'gc,ĠkonkrÃ©t,'gc,'gc,íĨ¤
" The baby was ____ softly. (sleeping)
 Answer: ",1,Ġsleeping,Ġsleeping,Ġpeacefully,Ġpeacefully,Ġpeacefully,Ġpeacefully,Ġsleep,Ġsleep,Ġpeacefully,Ġsleep,dued,iteDatabase,iteDatabase,Ġanswer,presso,presso,ynos,'gc,uent,ssp,.Metro,'gc,/Area,ibri,ibri,ICAST,adera,'gc,ĠkonkrÃ©t,'gc,'gc,íĨ¤
" This cake is very ____. (delicious)
 Answer: ",Ġdelicious,Ġscr,Ġscr,ĠDEL,ĠDEL,DEL,Ġdelicious,This,Ġtastes,é¡Į,(adj,é¡Į,é¡Į,iteDatabase,ī,presso,'gc,ÏĦÏİ,ktop,uent,ssp,UnitTest,Ġstag,STYPE,ibri,ibri,ULSE,adera,otel,ĠkonkrÃ©t,'gc,'gc,íĨ¤
" I bought a new ____ yesterday. (phone)
 Answer: ",Ġphone,Ġphone,Ġphone,Ġphone,Ġphone,Ġphone,Ġphone,Ġphone,Ġphone,Ġphone,fone,iteDatabase,iteDatabase,iteDatabase,arium,'gc,'gc,'gc,'gc,STANCE,ushima,'gc,ãĥĭãĤ¢,ORMAT,ibri,ibri,ICAST,adera,'gc,ĠkonkrÃ©t,'gc,'gc,íĨ¤
" The sky is full of ____ at night. (stars)
 Answer: ",Ġstars,Ġstars,Ġstars,Ġstars,Ġstars,Ġstars,Ġstars,Ġstars,Ġstars,Ġstars,Ġanswer,iteDatabase,iteDatabase,iteDatabase,Ġanswer,presso,'gc,'gc,'gc,uent,ssp,UnitTest,'gc,STYPE,ibri,ibri,ICAST,adera,'gc,ĠkonkrÃ©t,'gc,'gc,íĨ¤
" Challenging Questions
 Answer: ",ĠAnswer,1,1,ĠUsing,ĠUsing,Ġanswer,Ġanswer,Ġanswer,Ġanswer,Ġanswer,Ġanswer,Ġanswer,Ġanswer,'gc,COPE,'gc,'gc,'gc,'gc,UnitTest,.Undef,#ab,itest,PILE,ibri,ibri,ULSE,emm,otel,orget,'gc,'gc,íĨ¤
" The first element on the periodic table is ____.
 Answer: ",1,Ġ,Ġhydrogen,Ġhydrogen,Ġhydrogen,Ġhydrogen,Ġhydrogen,Ġanswer,Ġanswer,Ġanswer,Ġanswer,Ġanswer,Ġanswer,Ġanswer,Ġanswer,_processors,Drv,Uvs,ĠSab,ptest,/******/,UnitTest,avigator,STYPE,ibri,icha,ULSE,adera,ĠOaks,ĠkonkrÃ©t,'gc,'gc,íĨ¤
" The human body has ____ bones.
 Answer: ",Ġ,ĠThe,Ġanswer,Ġanswer,ĠFem,Ġbones,Ġbones,Ġbones,Ġbones,Ġbones,Ġbones,Ġanswer,Ġanswer,Ġanswer,Ġanswer,ìłĿ,presso,Uvs,sdk,Ġ++)Ċ,ushima,UnitTest,avigator,STYPE,ibri,ibri,ICAST,adera,ĠOaks,ĠkonkrÃ©t,'gc,'gc,íĨ¤
" 1 kilogram is equal to ____ grams.
 Answer: ",Ġ,100,100,100,Ġthousand,åįĥ,Ġthousand,Ġthousand,Ġthousand,RequestMethod,'gc,'gc,ĠUnits,çĻ¾,atto,leftright,_codegen,ÐºÐ¾ÑĢÐ¸ÑģÑĤ,initWith,ÐºÐ¾ÑĢÐ¸ÑģÑĤ,logradouro,.Metro,'gc,STYPE,ibri,ibri,ICAST,ĠINLINE,'gc,ĠkonkrÃ©t,Î´Î±,'gc,íĨ¤
" The SI unit of temperature is ____.
 Answer: ",1,ĠKelvin,ĠKelvin,ĠKelvin,ĠKelvin,ĠKelvin,ĠKelvin,ĠKelvin,Ġtemperature,Ġtemperature,Ġtemperature,Ġtemperatures,Ġanswer,Ġanswer,Ġanswer,iteDatabase,Drv,ktop,LIK,#ad,ÑĤÐ¾Ñİ,.$.,ãĥĭãĤ¢,STYPE,ibri,icha,ULSE,adera,ĠOaks,ĠkonkrÃ©t,'gc,'gc,íĨ¤
" The Earth revolves around the ____.
 Answer: ",1,ĠSun,Ġsun,Ġsun,Ġsun,Ġsun,Ġsun,Ġsun,Ġsun,Ġsun,Ġsun,Ġanswer,Ġanswer,Ġanswer,Ġanswer,presso,presso,aData,ĠSab,<typeof,iteDatabase,UnitTest,avigator,STYPE,ibri,ibri,ULSE,adera,ĠOaks,ĠkonkrÃ©t,'gc,'gc,íĨ¤
" A right angle is ____ degrees.
 Answer: ",90,90,90,90,90,90,90,90,90,Ġangle,legen,Ġangle,isos,ī,Ð¸ÑģÑĤÑĢÐ°,ĠCem,Uvs,Uvs,'gc,.EntityManager,ssp,UnitTest,Ġstag,STYPE,ibri,ichert,ICAST,adera,'gc,ĠkonkrÃ©t,'gc,'gc,íĨ¤
" The first computer programmer was Ada ____.
 Answer: ",ĠLov,ĠLov,ĠLov,ĠLov,ĠAda,ĠAda,ĠAda,Ġprogramming,Ġprogramming,Ġprogramming,Ġprogramming,Ġprogramming,gfx,Ġconsort,ãĤ¥,Ġvoc,ĠB,ĠSab,ĠSab,emale,ushima,.Metro,avigator,STYPE,ibri,ibri,ICAST,adera,'gc,ĠkonkrÃ©t,'gc,'gc,íĨ¤
" The author of ""The Odyssey"" was ____.
 Answer: ",ĠHomer,1,ĠHomer,ĠHomer,ĠHomer,ĠHomer,ĠHomer,ĠHomer,ĠHomer,ĠHomer,ĠHomer,Ġanswer,ĠAUTHORS,ateg,Ġanswer,ateg,_hooks,ĠSab,ĠSab,acha,logradouro,UnitTest,Ð¦Ðµ,STYPE,ibri,ibri,ULSE,adera,ĠOaks,ĠkonkrÃ©t,'gc,'gc,íĨ¤
" The capital of Australia is ____.
 Answer: ",1,1,ĠCanberra,ĠCanberra,ĠCanberra,ĠCanberra,ĠCanberra,ĠCanberra,ĠCanberra,ĠCanberra,Ġcapital,Ġcapital,Ġcapital,Ġcapital,Ġcapital,_processors,presso,Uvs,ĠSab,<typeof,ycastle,UnitTest,avigator,STYPE,ibri,ibri,ICAST,adera,ĠOaks,ĠkonkrÃ©t,'gc,'gc,íĨ¤
" The speed of light is approximately 3 x ____ m/s.
 Answer: ",10,10,10,10,ĠÃĹ,ouser,grese,Ġanswer,Ġanswer,Ġanswer,angstrom,AtA,iteDatabase,iteDatabase,Ġanswer,styleType,styleType,Uvs,Uvs,<typeof,Uvs,UnitTest,avigator,STYPE,ichert,ibri,ULSE,adera,'gc,ĠkonkrÃ©t,'gc,'gc,íĨ¤
" 15 ÷ 3 = ____.
 Answer: ",5,5,5,5,5,5,5,5,5,5,'gc,'gc,'gc,ĠActionTypes,ĠBurl,ĠPub,'gc,'gc,'gc,'gc,ycastle,UnitTest,'gc,.scalablytyped,'gc,icha,ICAST,ĠINLINE,'gc,ĠkonkrÃ©t,'gc,'gc,íĨ¤
" 9 × 9 = ____.
 Answer: ",81,81,81,81,81,81,81,81,81,81,¯u,/Dk,emoc,ulp,abox,'gc,Î¼Î¼,ī,'gc,'gc,ycastle,'gc,'gc,'gc,ibri,icha,ULSE,ĠINLINE,'gc,ĠkonkrÃ©t,'gc,'gc,íĨ¤
" 18 + 7 = ____.
 Answer: ",25,25,25,25,25,25,25,25,25,25,25,leftright,leftright,_codegen,ģn,/Branch,'gc,STYPE,'gc,'gc,Uvs,UnitTest,'gc,.scalablytyped,'gc,icha,ULSE,ĠINLINE,'gc,ĠkonkrÃ©t,'gc,'gc,íĨ¤
" 40 − 8 = ____.
 Answer: ",Ġ,32,32,32,32,32,32,32,32,32,'gc,'gc,'gc,SPATH,ī,ī,presso,opa,Ġstripslashes,ekil,ycastle,UnitTest,'gc,.scalablytyped,'gc,icha,ULSE,ĠINLINE,'gc,ĠkonkrÃ©t,'gc,'gc,íĨ¤
" The area of a circle is πr², where r is the ____.
 Answer: ",Ġradius,Ġradius,Ġradius,Ġradius,Ġradius,Ġradius,Ġdiameter,Ġradius,Ġradius,Ġdiameter,Ġdiameter,Ġanswer,URLException,AtA,egal,egal,presso,Uvs,Uvs,ptest,_tD,#ab,#ab,STYPE,ichert,icha,ULSE,adera,ĠOaks,ĠkonkrÃ©t,'gc,'gc,íĨ¤
" 10 squared is ____.
 Answer: ",100,100,100,100,100,100,100,100,aland,aland,aland,styleType,styleType,aland,/Runtime,'gc,'gc,Uvs,'gc,logradouro,logradouro,'gc,'gc,STYPE,ibri,ichert,ICAST,ĠINLINE,'gc,ĠkonkrÃ©t,'gc,'gc,íĨ¤
" 1 + 2 × 3 = ____.
 Answer: ",6,6,6,6,6,arton,RuleContext,Ġ#+#,atz,ĠSUBSTITUTE,URLException,leftright,leftright,Ø¬Ø§Ø±,leftright,leftright,Î¼Î¼,STYPE,'gc,STANCE,ycastle,UnitTest,'gc,'gc,'gc,icha,ULSE,ĠINLINE,'gc,ĠkonkrÃ©t,'gc,'gc,íĨ¤
" The sum of angles in a triangle is ____ degrees.
 Answer: ",180,180,180,180,180,180,180,180,180,180,Ġtriangle,ANGLES,isos,isos,Ġanswer,presso,Uvs,Uvs,LastError,ekil,(PHP,UnitTest,avigator,STYPE,ibri,icha,ULSE,adera,'gc,ĠkonkrÃ©t,'gc,'gc,íĨ¤
" If 2x = 10, then x = ____.
 Answer: ",Ġ,5,5,5,5,5,5,Ġhalf,Ġhalf,Ġanswer,'gc,'gc,'gc,'gc,presso,presso,presso,Uvs,Uvs,ekil,Uvs,UnitTest,avigator,STYPE,ichert,icha,ULSE,adera,'gc,ĠkonkrÃ©t,'gc,'gc,íĨ¤
" 0.25 as a percentage is ____%.
 Answer: ",Ġ,25,25,25,25,25,25,25,25,25,setFlash,setFlash,Ġanswer,erner,.Percent,erner,_codegen,Uvs,'gc,logradouro,logradouro,'gc,avigator,STYPE,ibri,ibri,ULSE,ĠINLINE,adera,ĠkonkrÃ©t,'gc,'gc,íĨ¤
" Advanced and Specific
 Answer: ",ĠAnswer,ĠAdvanced,1,ĠUsing,ĠAdvanced,ĠAdvanced,Ġadvanced,Ġanswer,Ġanswer,Ġanswer,Ġ,AtA,AtA,AtA,'gc,'gc,'gc,'gc,'gc,'gc,.Undef,'gc,.scalablytyped,PILE,ibri,ibri,ULSE,ĠINLINE,otel,orget,addAll,'gc,íĨ¤
" The square of 12 is ____.
 Answer: ",144,144,144,144,144,144,144,144,144,senal,DbType,Ġydk,ovit,ï»¿#,ï»¿#,'gc,'gc,Uvs,'gc,#ad,ycastle,UnitTest,avigator,STYPE,ibri,icha,ULSE,adera,'gc,ĠkonkrÃ©t,'gc,'gc,íĨ¤
" The capital of Egypt is ____.
 Answer: ",1,ĠCairo,ĠCairo,ĠCairo,ĠCairo,ĠCairo,ĠCairo,ĠCairo,ĠCairo,ĠCairo,ĠCairo,ĠCairo,ĠCairo,Ġcapital,Ġcapital,isphere,presso,'gc,ĠSab,yre,ycastle,UnitTest,avigator,STYPE,ibri,ibri,ICAST,adera,ĠOaks,ĠkonkrÃ©t,'gc,'gc,íĨ¤
" The programming language developed by Guido van Rossum is ____.
 Answer: ",1,ĠPython,ĠPython,ĠPython,ĠPython,ĠPython,ĠPython,ĠPython,ĠPython,Ġanswer,Ġanswer,Ġanswer,Ġanswer,ī,Ġanswer,presso,presso,ControlEvents,ĠSab,chg,ÑĤÐ¾Ñİ,UnitTest,.$.,STYPE,ibri,ibri,ULSE,adera,'gc,ĠkonkrÃ©t,'gc,'gc,íĨ¤
" A group of lions is called a ____.
 Answer: ",ĠA,Ġpride,Ġpride,Ġpride,Ġpride,Ġpride,Ġpride,Ġpack,Ġpack,ĠMane,'gc,'gc,ī,ī,Ġanswer,presso,'gc,'gc,'gc,]âĢı,ssp,UnitTest,Ġstag,STYPE,ibri,ibri,ULSE,adera,'gc,ĠkonkrÃ©t,'gc,'gc,íĨ¤
" The process of a caterpillar becoming a butterfly is called ____.
 Answer: ",Ġmetam,Ġmetam,Ġmetam,Ġmetam,Ġmetam,Ġmetam,Ġmetam,Ġmetam,Ġmetam,Ġmetam,Ġtransformation,iteDatabase,iteDatabase,ī,Ġanswer,presso,'gc,HeaderCode,'gc,acha,ÑĤÐ¾Ñİ,UnitTest,avigator,STYPE,ibri,ibri,ULSE,adera,'gc,ĠkonkrÃ©t,'gc,'gc,íĨ¤
" The boiling point of water in Fahrenheit is ____.
 Answer: ",Ġ,212,212,212,212,212,212,212,Ġboiling,Ġboiling,Ġboiling,ĠFahrenheit,Ġwater,Ġwater,Ġtemperatures,COPE,ukan,Uvs,ĠSab,<typeof,ycastle,.Metro,avigator,STYPE,ibri,icha,ULSE,adera,ĠOaks,ĠkonkrÃ©t,'gc,'gc,íĨ¤
" The Pythagorean theorem is a² + b² = ____.
 Answer: ",Ġc,Ġc,Ġc,Ġc,Ġc,Ġc,Ġc,Ġc,Ġc,Ġc,Ġc,arton,isclosed,presso,presso,presso,presso,Uvs,Uvs,ekil,Uvs,#ab,avigator,STYPE,ichert,icha,ULSE,adera,'gc,ĠkonkrÃ©t,'gc,'gc,íĨ¤
" The distance around a circle is called the ____.
 Answer: ",1,Ġcircumference,Ġcircumference,Ġcircumference,Ġcircumference,Ġcircumference,Ġcircumference,Ġcircumference,Ġcircumference,Ġcircumference,Ġcircumference,Ġanswer,ī,ī,Ġanswer,presso,'gc,Uvs,Uvs,iteDatabase,logradouro,Ġstag,Ġstag,STYPE,ibri,icha,ULSE,adera,ĠOaks,ĠkonkrÃ©t,'gc,'gc,íĨ¤
" The currency of India is the ____.
 Answer: ",1,1,ĠRu,Ġru,Ġru,Ġru,Ġru,Ġanswer,Ġanswer,Ġanswer,Ġanswer,Ġanswer,Ġanswer,Ġanswer,Ġanswer,ìłĿ,presso,ktop,ĠSab,<typeof,ushima,UnitTest,ãĥĭãĤ¢,STYPE,ibri,ibri,ULSE,ĠINLINE,ĠOaks,ĠkonkrÃ©t,'gc,'gc,íĨ¤
" The symbol for the speed of light in physics is ____.
 Answer: ",1,Ġc,Ġc,Ġc,Ġc,Ġc,Ġc,Ġc,Ġanswer,Ġanswer,Ġanswer,Ġanswer,iteDatabase,Ġanswer,Ġanswer,Drv,'gc,HeaderCode,'gc,ĠBrace,logradouro,UnitTest,.$.,STYPE,ibri,icha,ULSE,adera,ĠOaks,ĠkonkrÃ©t,'gc,'gc,íĨ¤
" The capital of Italy is ____
 Answer: ",1,1,ĠRome,ĠRome,ĠRome,ĠRome,ĠRome,ĠRome,ĠRome,ĠRome,ĠRome,ĠRome,ĠRome,Ġcapital,Ġcapital,Ġcapital,presso,'gc,ĠSab,<typeof,:uint,.$.,avigator,STYPE,ibri,ibri,ULSE,ĠINLINE,otel,ĠkonkrÃ©t,'gc,'gc,íĨ¤
" The largest ocean on Earth is the ____
 Answer: ",1,ĠPacific,ĠPacific,ĠPacific,ĠPacific,ĠPacific,ĠPacific,ĠPacific,Ġocean,Ġanswer,Ġanswer,Ġanswer,Ġanswer,Ġanswer,Ġanswer,presso,ÑĢÐ¾Ð³,Ġcirc,'gc,ĠBrace,logradouro,ession,.$.,STYPE,ibri,ibri,ULSE,ĠINLINE,otel,ĠkonkrÃ©t,'gc,'gc,íĨ¤
" Ice melts at ____ degrees Celsius
 Answer: ",0,0,0,0,0,Ġzero,Ġice,Ġice,Ġice,Ġice,Ġice,Ġtemperature,ukan,Ġwater,Ġtemperatures,angstrom,æ¸©åº¦,ÏĦÏİ,ĠSab,ous,ushima,'gc,'gc,STYPE,ibri,ibri,ICAST,adera,otel,orget,Î´Î±,'gc,íĨ¤
" The chemical symbol for silver is ____
 Answer: ",ĠAg,ĠAg,ĠAg,Ġsilver,Ġsilver,Ġsilver,Ġsilver,Ġsilver,Ġsilver,Ġsilver,Ġsilver,Ġsilver,Ġsilver,iteDatabase,ilver,iteDatabase,'gc,HeaderCode,'gc,uent,:uint,.$.,avigator,STYPE,ibri,ibri,ULSE,ĠINLINE,otel,ĠkonkrÃ©t,Î´Î±,'gc,íĨ¤
" The Pyramids of Giza are located in ____
 Answer: ",1,1,ĠEgypt,ĠEgypt,ĠEgypt,ĠEgypt,ĠEgypt,ĠEgypt,ĠEgypt,Ġ,Ġ,Ġ,ĠCairo,ateg,emain,presso,ÑĢÐ¾Ð³,ktop,'gc,uent,ÑĤÐ¾Ñİ,CurrentValue,.$.,STYPE,ibri,ibri,ULSE,ĠINLINE,otel,ĠkonkrÃ©t,addAll,'gc,íĨ¤
" The currency of the United Kingdom is the ____
 Answer: ",1,1,ĠPound,ĠSterling,Ġpound,Ġpound,Ġpound,Ġanswer,Ġanswer,Ġanswer,Ġanswer,Ġanswer,Ġanswer,Ġanswer,Ġanswer,presso,presso,ktop,'gc,ounty,ÑĤÐ¾Ñİ,#ab,.$.,STYPE,ibri,ibri,ICAST,ĠINLINE,otel,ĠkonkrÃ©t,'gc,'gc,íĨ¤
" The second largest river in the world is the ____
 Answer: ",1,ĠAmazon,ĠNile,ĠAmazon,ĠAmazon,ĠMississippi,ĠNile,ĠRiver,ĠRiver,ĠRiver,Ġriver,ĠRiver,ĠRiver,ĠRiver,Ġriver,'gc,'gc,'gc,'gc,acha,ÑĤÐ¾Ñİ,.$.,.$.,STYPE,ibri,ibri,ULSE,ĠINLINE,otel,ĠkonkrÃ©t,'gc,'gc,íĨ¤
" The tallest building in the world is the ____
 Answer: ",1,ĠBur,ĠBur,ĠWillis,Ġtallest,Ġtallest,Ġtowers,Ġtowers,Ġtowers,Ġtallest,Ġtower,Ġtowers,Ġtowers,Ġtower,Ġtowers,presso,'gc,ktop,'gc,acha,ÄĻk,.$.,.$.,STYPE,ibri,ibri,ULSE,ĠINLINE,otel,ĠkonkrÃ©t,'gc,'gc,íĨ¤
" The primary language spoken in Argentina is ____
 Answer: ",1,1,ĠSpanish,Ġcast,ĠSpanish,ĠSpanish,ĠSpanish,ĠSpanish,ĠEnglish,Ġanswer,Ġanswered,Ġanswer,Ġanswered,Ġanswered,Ġanswered,ateg,à¹Īà¸Ńà¸¢,@\,ĠSab,rophy,ÑĤÐ¾Ñİ,#ab,.$.,STYPE,ibri,ibri,ICAST,ĠINLINE,otel,ĠkonkrÃ©t,'gc,'gc,íĨ¤
" The atomic number of hydrogen is ____
 Answer: ",1,1,1,1,1,Ġpro,atomic,Ġhydrogen,Ġhydrogen,Ġatomic,Ġatomic,Ġatomic,Ġatomic,Ġatom,ÏħÎ³,ÏĦÎ¹Îº,_processors,ptest,ptest,ptest,Uvs,.$.,avigator,STYPE,ibri,icha,ULSE,ĠINLINE,merc,ĠkonkrÃ©t,'gc,'gc,íĨ¤
" 6 + 4 = ____
 Answer: ",10,10,10,10,10,10,10,10,10,10,LastError,HORT,hoot,hoot,hoot,/Branch,.mousePosition,STYPE,'gc,'gc,ycastle,UnitTest,'gc,.scalablytyped,ibri,ibri,ICAST,ĠINLINE,_nh,ĠkonkrÃ©t,'gc,'gc,íĨ¤
" 15 ÷ 3 = ____
 Answer: ",5,5,5,5,5,5,5,5,5,5,'gc,'gc,'gc,'gc,å±,Î¼Î¼,ulumi,STYPE,'gc,'gc,ycastle,arken,avigator,.scalablytyped,ibri,icha,ICAST,ĠINLINE,_nh,ĠkonkrÃ©t,'gc,'gc,íĨ¤
" The square root of 25 is ____
 Answer: ",Ġ,5,5,5,5,5,µ,ī,ī,ī,ī,ī,ī,ī,ī,ĠCarp,styleType,aeper,rophy,rophy,ycastle,angstrom,avigator,STYPE,ibri,icha,ULSE,ĠINLINE,_nh,ĠkonkrÃ©t,'gc,'gc,íĨ¤
" 9 × 6 = ____
 Answer: ",54,54,54,54,54,54,54,54,54,54,54,54,¶ģ,hek,ÑıÑģ,'gc,Î¼Î¼,anova,'gc,'gc,ycastle,'gc,'gc,.scalablytyped,ibri,icha,ICAST,ĠINLINE,_nh,ĠkonkrÃ©t,'gc,'gc,íĨ¤
" 30 − 14 = ____
 Answer: ",16,16,16,16,16,16,16,16,16,16,16,'gc,'gc,STYPE,STYPE,ī,aje,å®Ļ,ĠWaitForSeconds,ekil,ycastle,UnitTest,avigator,.scalablytyped,ibri,icha,à¤łà¤¨,ĠINLINE,_nh,ĠkonkrÃ©t,'gc,'gc,íĨ¤
" The area of a square with side length 7 is ____
 Answer: ",1,49,49,49,49,49,49,Area,Area,Area,Area,/Area,ovit,'gc,ovit,ovit,'gc,aeper,ptest,ptest,ycastle,.$.,.$.,STYPE,ibri,icha,ULSE,adera,'gc,ĠkonkrÃ©t,'gc,'gc,íĨ¤
" The perimeter of a rectangle with length 8 and width 6 is ____
 Answer: ",1,24,24,24,26,26,26,26,akis,á»Ľm,ï»¿#,'gc,'gc,'gc,'gc,'gc,'gc,olute,ptest,ptest,ÑĤÐ¾Ñİ,.$.,.$.,STYPE,ibri,icha,ULSE,adera,'gc,ĠkonkrÃ©t,'gc,'gc,íĨ¤
" The cube root of 64 is ____
 Answer: ",Ġ,4,4,4,4,4,TestingModule,Ġcube,Ġcube,Ġcube,Ġcube,Ġcube,Ġcube,'gc,'gc,ĠCarp,styleType,å®Ļ,LIK,rophy,bidden,angstrom,avigator,STYPE,ibri,icha,ULSE,ĠINLINE,'gc,ĠkonkrÃ©t,'gc,'gc,íĨ¤
" If x = 5, then 3x + 2 = ____
 Answer: ",Ġ,8,8,8,8,7,7,8,7,upo,ovit,ovit,Î¼Î¼,hoot,ī,presso,presso,HeaderCode,LIK,#ad,ÑĤÐ¾Ñİ,ptune,ichert,STYPE,ibri,icha,ULSE,ACKET,'gc,ĠkonkrÃ©t,'gc,'gc,íĨ¤
" 200 − 50 × 4 = ____
 Answer: ",Ġ,50,50,150,150,150,150,150,150,150,$MESS,$MESS,SPATH,presso,presso,presso,Î¼Î¼,ĠCove,'gc,landa,arken,anyl,'gc,.scalablytyped,ibri,ichert,à¤łà¤¨,ĠINLINE,_nh,ĠkonkrÃ©t,'gc,'gc,íĨ¤
" The Taj Mahal is located in ____
 Answer: ",1,1,ĠA,ĠA,ateg,ĠIndia,gra,ĠIndia,Ġanswer,Ġanswer,ĠUNESCO,Ġanswer,ī,Ġanswer,Ġanswer,presso,'gc,:Event,'gc,:Event,Uvs,CurrentValue,.$.,STYPE,ibri,ibri,ULSE,ĠINLINE,otel,ĠkonkrÃ©t,'gc,'gc,íĨ¤
" Mount Everest is in the ____ mountain range
 Answer: ",ĠHimal,Ġhim,Ġhim,Ġhim,ĠHimal,ĠHimal,ĠHimal,ĠHimal,ĠHimal,ĠEverest,ĠEverest,ĠHimal,ĠMountains,Ġmountains,Ġanswer,RetVal,ukan,Ġcirc,ĠSab,]âĢı,logradouro,UnitTest,avigator,ãĥĭãĤ¢,ibri,ibri,ULSE,adera,otel,orget,addAll,'gc,íĨ¤
" The capital of Spain is ____
 Answer: ",1,1,ĠMadrid,ĠMadrid,ĠMadrid,ĠMadrid,ĠMadrid,ĠMadrid,ĠMadrid,ĠMadrid,ĠMadrid,ĠMadrid,Ġcapital,Ġcapital,Ġcapital,Ġcapital,presso,'gc,'gc,<typeof,:uint,.$.,.$.,STYPE,ibri,ibri,ICAST,ĠINLINE,otel,ĠkonkrÃ©t,'gc,'gc,íĨ¤
" The Amazon rainforest is primarily in ____
 Answer: ",1,1,ĠBrazil,ĠAmazon,ĠAmazon,ĠBrazil,ĠAmazon,ĠAmazon,Ġanswer,Ġanswer,Ġanswer,Ġanswer,Ġanswer,Ġanswer,Ġanswer,presso,presso,ktop,'gc,uent,ÑĤÐ¾Ñİ,.$.,.$.,STYPE,ibri,ibri,ULSE,ĠINLINE,otel,ĠkonkrÃ©t,å»,'gc,íĨ¤
" The Sahara is the largest ____ in the world
 Answer: ",Ġdesert,Ġdesert,Ġdesert,Ġdesert,Ġdesert,Ġdesert,Ġdesert,Ġdesert,Ġdesert,Ġdesert,Ġdesert,egie,Ġdesert,ÐºÐ¾ÑĢÐ¸ÑģÑĤ,Ġanswer,ertainment,oulos,Uvs,ĠSab,ĠBrace,logradouro,UnitTest,avigator,STYPE,ibri,ibri,ICAST,adera,DL,ĠkonkrÃ©t,addAll,'gc,íĨ¤
" The Great Barrier Reef is found near ____
 Answer: ",1,ĠAustralia,ĠAustralia,ĠAustralia,ĠAustralia,ĠAustralia,ĠAustralia,ĠAustralia,ĠAustralia,ĠAustralia,ĠAustralia,egal,egal,egal,Ġanswer,aris,ukan,Ġcirc,ĠSab,uent,ÑĤÐ¾Ñİ,#ab,.scalablytyped,STYPE,ibri,ibri,ULSE,ĠINLINE,otel,ĠkonkrÃ©t,'gc,'gc,íĨ¤
" The capital of Canada is ____
 Answer: ",1,ĠOttawa,ĠOttawa,ĠOttawa,ĠOttawa,ĠOttawa,ĠOttawa,ĠOttawa,ĠOttawa,ĠOttawa,Ġcapital,ĠOttawa,ĠCanada,ĠCanada,Ġcapital,Ġcapital,presso,'gc,ĠSab,<typeof,:uint,.$.,.$.,STYPE,ibri,ibri,ICAST,ĠINLINE,otel,ĠkonkrÃ©t,'gc,'gc,íĨ¤
" The Eiffel Tower is located in ____
 Answer: ",1,1,ĠParis,ĠParis,ĠParis,ĠParis,ĠParis,ĠParis,ĠParis,ĠFrance,ĠFrance,ĠFrance,Ġovert,iteDatabase,emain,@brief,ukan,:Event,ĠSab,uent,ÑĤÐ¾Ñİ,.$.,.$.,STYPE,ibri,ibri,ICAST,ĠINLINE,otel,ĠkonkrÃ©t,'gc,'gc,íĨ¤
" The smallest planet in the solar system is ____
 Answer: ",1,1,1,ĠMercury,ĠMercury,ĠMercury,ĠMercury,ĠMercury,ĠEarth,Ġsmallest,Ġsmallest,ĠEarth,Ġsmallest,Ġsmallest,Ġsmallest,Ġsmaller,'gc,'gc,'gc,<typeof,logradouro,.$.,.$.,STYPE,ibri,ibri,ULSE,ĠINLINE,otel,ĠkonkrÃ©t,å»,'gc,íĨ¤
" The Sun is a type of ____
 Answer: ",ĠStar,Ġstar,Ġstar,Ġstar,Ġstars,Ġstars,Ġstars,Ġstars,ĠSun,ĠSun,ĠSun,Ġanswer,Ġanswer,ĠSun,Ġanswer,presso,ktop,ĠWr,ĠSab,uent,iteDatabase,.$.,ãĥĭãĤ¢,STYPE,ibri,ibri,ULSE,ĠINLINE,ĠOaks,ĠkonkrÃ©t,'gc,'gc,íĨ¤
" Photosynthesis produces ____ as a byproduct
 Answer: ",1,ĠCO,ĠCO,ĠCO,ĠCO,ĠCO,ĠCO,ĠCO,ĠCO,ĠCO,ĠCO,ĠCO,ĠCO,ĠCO,ĠCO,SPAN,ioned,Uvs,ĠSab,ĠSab,logradouro,UnitTest,#ab,STYPE,ibri,ibri,ICAST,tica,bÃ©,ĠkonkrÃ©t,addAll,'gc,íĨ¤
